"","x"
"X1",0.83780001420065
"X2",0.525687946584313
"X3",-0.505844705128611
"X4",-0.638015312879772
"X5",0.98129198799333
"X6",0.111366750010612
"X7",-0.142857625713409
"X8",-0.383936784845379
"X9",-0.0201636756365966
"X10",0.207541473677223
"X11",0.26227164212568
"X12",-1.11290673446626
"X13",0.524506805805013
"X14",-0.0801335371125467
"X15",-0.266355569717518
"X16",-0.0429451961832013
"X17",-0.375539888829909
"X18",0.9136505493904
"X19",-1.04257380689413
"X20",0.811002493678062
"X21",0.454254395806493
"X22",0.72818740745037
"X23",0.850588043617745
"X24",-0.0547785226406242
"X25",-0.860601926097409
