"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2024 18:30 - 01.01.2024 18:45","0","0","n/e","1322","1322","n/e","2637","2637","n/e"
"01.01.2024 18:45 - 01.01.2024 19:00","0","0","n/e","1306","1306","n/e","2562","2562","n/e"
"01.01.2024 19:00 - 01.01.2024 19:15","0","0","n/e","1290","1290","n/e","2487","2487","n/e"
"01.01.2024 19:15 - 01.01.2024 19:30","0","0","n/e","1274","1274","n/e","2424","2424","n/e"
"01.01.2024 19:30 - 01.01.2024 19:45","0","0","n/e","1260","1260","n/e","2377","2377","n/e"
"01.01.2024 19:45 - 01.01.2024 20:00","0","0","n/e","1245","1245","n/e","2332","2332","n/e"
"01.01.2024 20:00 - 01.01.2024 20:15","0","0","n/e","1231","1231","n/e","2286","2286","n/e"
"01.01.2024 20:15 - 01.01.2024 20:30","0","0","n/e","1214","1214","n/e","2243","2243","n/e"
"01.01.2024 20:30 - 01.01.2024 20:45","0","0","n/e","1193","1193","n/e","2203","2203","n/e"
"01.01.2024 20:45 - 01.01.2024 21:00","0","0","n/e","1173","1173","n/e","2165","2165","n/e"
"01.01.2024 21:00 - 01.01.2024 21:15","0","0","n/e","1153","1153","n/e","2127","2127","n/e"
"01.01.2024 21:15 - 01.01.2024 21:30","0","0","n/e","1116","1116","n/e","2088","2088","n/e"
"01.01.2024 21:30 - 01.01.2024 21:45","0","0","n/e","1062","1062","n/e","2054","2054","n/e"
"01.01.2024 21:45 - 01.01.2024 22:00","0","0","n/e","1008","1008","n/e","2016","2016","n/e"
"01.01.2024 22:00 - 01.01.2024 22:15","0","0","n/e","955","955","n/e","1980","1980","n/e"
"01.01.2024 22:15 - 01.01.2024 22:30","0","0","n/e","957","957","n/e","1985","1985","n/e"
"01.01.2024 22:30 - 01.01.2024 22:45","0","0","n/e","1016","1016","n/e","2026","2026","n/e"
"01.01.2024 22:45 - 01.01.2024 23:00","0","0","n/e","1074","1074","n/e","2069","2069","n/e"
"01.01.2024 23:00 - 01.01.2024 23:15","0","0","n/e","1133","1133","n/e","2110","2110","n/e"
"01.01.2024 23:15 - 01.01.2024 23:30","0","0","n/e","1172","1172","n/e","2157","2157","n/e"
"01.01.2024 23:30 - 01.01.2024 23:45","0","0","n/e","1192","1192","n/e","2213","2213","n/e"
"01.01.2024 23:45 - 02.01.2024 00:00","0","0","n/e","1213","1213","n/e","2267","2267","n/e"
"02.01.2024 00:00 - 02.01.2024 00:15","0","0","n/e","1117","1117","n/e","2482","2482","n/e"
"02.01.2024 00:15 - 02.01.2024 00:30","0","0","n/e","1130","1130","n/e","2503","2503","n/e"
"02.01.2024 00:30 - 02.01.2024 00:45","0","0","n/e","1143","1143","n/e","2524","2524","n/e"
"02.01.2024 00:45 - 02.01.2024 01:00","0","0","n/e","1155","1155","n/e","2544","2544","n/e"
"02.01.2024 01:00 - 02.01.2024 01:15","0","0","n/e","1168","1168","n/e","2567","2567","n/e"
"02.01.2024 01:15 - 02.01.2024 01:30","0","0","n/e","1185","1185","n/e","2612","2612","n/e"
"02.01.2024 01:30 - 02.01.2024 01:45","0","0","n/e","1206","1206","n/e","2681","2681","n/e"
"02.01.2024 01:45 - 02.01.2024 02:00","0","0","n/e","1228","1228","n/e","2752","2752","n/e"
"02.01.2024 02:00 - 02.01.2024 02:15","0","0","n/e","1249","1249","n/e","2820","2820","n/e"
"02.01.2024 02:15 - 02.01.2024 02:30","0","0","n/e","1272","1272","n/e","2891","2891","n/e"
"02.01.2024 02:30 - 02.01.2024 02:45","0","0","n/e","1295","1295","n/e","2954","2954","n/e"
"02.01.2024 02:45 - 02.01.2024 03:00","0","0","n/e","1318","1318","n/e","3024","3024","n/e"
"02.01.2024 03:00 - 02.01.2024 03:15","0","0","n/e","1342","1342","n/e","3090","3090","n/e"
"02.01.2024 03:15 - 02.01.2024 03:30","0","0","n/e","1357","1357","n/e","3152","3152","n/e"
"02.01.2024 03:30 - 02.01.2024 03:45","0","0","n/e","1363","1363","n/e","3212","3212","n/e"
"02.01.2024 03:45 - 02.01.2024 04:00","0","0","n/e","1370","1370","n/e","3275","3275","n/e"
"02.01.2024 04:00 - 02.01.2024 04:15","0","0","n/e","1377","1377","n/e","3334","3334","n/e"
"02.01.2024 04:15 - 02.01.2024 04:30","0","0","n/e","1379","1379","n/e","3376","3376","n/e"
"02.01.2024 04:30 - 02.01.2024 04:45","0","0","n/e","1376","1376","n/e","3399","3399","n/e"
"02.01.2024 04:45 - 02.01.2024 05:00","0","0","n/e","1374","1374","n/e","3427","3427","n/e"
"02.01.2024 05:00 - 02.01.2024 05:15","0","0","n/e","1371","1371","n/e","3450","3450","n/e"
"02.01.2024 05:15 - 02.01.2024 05:30","0","0","n/e","1370","1370","n/e","3478","3478","n/e"
"02.01.2024 05:30 - 02.01.2024 05:45","0","0","n/e","1370","1370","n/e","3510","3510","n/e"
"02.01.2024 05:45 - 02.01.2024 06:00","0","0","n/e","1370","1370","n/e","3541","3541","n/e"
"02.01.2024 06:00 - 02.01.2024 06:15","0","0","n/e","1371","1371","n/e","3575","3575","n/e"
"02.01.2024 06:15 - 02.01.2024 06:30","0","0","n/e","1371","1371","n/e","3603","3603","n/e"
"02.01.2024 06:30 - 02.01.2024 06:45","0","0","n/e","1371","1371","n/e","3633","3633","n/e"
"02.01.2024 06:45 - 02.01.2024 07:00","0","0","n/e","1372","1372","n/e","3662","3662","n/e"
"02.01.2024 07:00 - 02.01.2024 07:15","0","0","n/e","1372","1372","n/e","3690","3690","n/e"
"02.01.2024 07:15 - 02.01.2024 07:30","0","0","n/e","1372","1372","n/e","3696","3696","n/e"
"02.01.2024 07:30 - 02.01.2024 07:45","0","0","n/e","1372","1372","n/e","3680","3680","n/e"
"02.01.2024 07:45 - 02.01.2024 08:00","0","0","n/e","1371","1371","n/e","3661","3661","n/e"
"02.01.2024 08:00 - 02.01.2024 08:15","0","0","n/e","1371","1371","n/e","3644","3644","n/e"
"02.01.2024 08:15 - 02.01.2024 08:30","0","0","n/e","1370","1370","n/e","3626","3626","n/e"
"02.01.2024 08:30 - 02.01.2024 08:45","0","0","n/e","1370","1370","n/e","3609","3609","n/e"
"02.01.2024 08:45 - 02.01.2024 09:00","0","0","n/e","1370","1370","n/e","3593","3593","n/e"
"02.01.2024 09:00 - 02.01.2024 09:15","0","0","n/e","1370","1370","n/e","3577","3577","n/e"
"02.01.2024 09:15 - 02.01.2024 09:30","23","23","n/e","1370","1370","n/e","3562","3562","n/e"
"02.01.2024 09:30 - 02.01.2024 09:45","46","46","n/e","1369","1369","n/e","3548","3548","n/e"
"02.01.2024 09:45 - 02.01.2024 10:00","71","71","n/e","1368","1368","n/e","3535","3535","n/e"
"02.01.2024 10:00 - 02.01.2024 10:15","95","95","n/e","1367","1367","n/e","3524","3524","n/e"
"02.01.2024 10:15 - 02.01.2024 10:30","122","122","n/e","1365","1365","n/e","3470","3470","n/e"
"02.01.2024 10:30 - 02.01.2024 10:45","152","152","n/e","1360","1360","n/e","3372","3372","n/e"
"02.01.2024 10:45 - 02.01.2024 11:00","181","181","n/e","1355","1355","n/e","3276","3276","n/e"
"02.01.2024 11:00 - 02.01.2024 11:15","213","213","n/e","1350","1350","n/e","3179","3179","n/e"
"02.01.2024 11:15 - 02.01.2024 11:30","231","231","n/e","1339","1339","n/e","3084","3084","n/e"
"02.01.2024 11:30 - 02.01.2024 11:45","251","251","n/e","1323","1323","n/e","2985","2985","n/e"
"02.01.2024 11:45 - 02.01.2024 12:00","271","271","n/e","1308","1308","n/e","2888","2888","n/e"
"02.01.2024 12:00 - 02.01.2024 12:15","292","292","n/e","1292","1292","n/e","2791","2791","n/e"
"02.01.2024 12:15 - 02.01.2024 12:30","300","300","n/e","1265","1265","n/e","2681","2681","n/e"
"02.01.2024 12:30 - 02.01.2024 12:45","308","308","n/e","1227","1227","n/e","2561","2561","n/e"
"02.01.2024 12:45 - 02.01.2024 13:00","318","318","n/e","1189","1189","n/e","2439","2439","n/e"
"02.01.2024 13:00 - 02.01.2024 13:15","328","328","n/e","1151","1151","n/e","2318","2318","n/e"
"02.01.2024 13:15 - 02.01.2024 13:30","282","282","n/e","1147","1147","n/e","2283","2283","n/e"
"02.01.2024 13:30 - 02.01.2024 13:45","237","237","n/e","1176","1176","n/e","2330","2330","n/e"
"02.01.2024 13:45 - 02.01.2024 14:00","192","192","n/e","1206","1206","n/e","2379","2379","n/e"
"02.01.2024 14:00 - 02.01.2024 14:15","146","146","n/e","1236","1236","n/e","2429","2429","n/e"
"02.01.2024 14:15 - 02.01.2024 14:30","140","140","n/e","1260","1260","n/e","2469","2469","n/e"
"02.01.2024 14:30 - 02.01.2024 14:45","129","129","n/e","1279","1279","n/e","2496","2496","n/e"
"02.01.2024 14:45 - 02.01.2024 15:00","123","123","n/e","1297","1297","n/e","2526","2526","n/e"
"02.01.2024 15:00 - 02.01.2024 15:15","115","115","n/e","1315","1315","n/e","2552","2552","n/e"
"02.01.2024 15:15 - 02.01.2024 15:30","102","102","n/e","1328","1328","n/e","2575","2575","n/e"
"02.01.2024 15:30 - 02.01.2024 15:45","88","88","n/e","1335","1335","n/e","2593","2593","n/e"
"02.01.2024 15:45 - 02.01.2024 16:00","76","76","n/e","1343","1343","n/e","2612","2612","n/e"
"02.01.2024 16:00 - 02.01.2024 16:15","65","65","n/e","1350","1350","n/e","2627","2627","n/e"
"02.01.2024 16:15 - 02.01.2024 16:30","50","50","n/e","1358","1358","n/e","2724","2724","n/e"
"02.01.2024 16:30 - 02.01.2024 16:45","34","34","n/e","1367","1367","n/e","2896","2896","n/e"
"02.01.2024 16:45 - 02.01.2024 17:00","23","23","n/e","1376","1376","n/e","3067","3067","n/e"
"02.01.2024 17:00 - 02.01.2024 17:15","8","8","n/e","1385","1385","n/e","3241","3241","n/e"
"02.01.2024 17:15 - 02.01.2024 17:30","5","5","n/e","1389","1389","n/e","3391","3391","n/e"
"02.01.2024 17:30 - 02.01.2024 17:45","4","4","n/e","1386","1386","n/e","3512","3512","n/e"
"02.01.2024 17:45 - 02.01.2024 18:00","0","0","n/e","1383","1383","n/e","3638","3638","n/e"
"02.01.2024 18:00 - 02.01.2024 18:15","0","0","n/e","1380","1380","n/e","3760","3760","n/e"
"02.01.2024 18:15 - 02.01.2024 18:30","0","0","n/e","1378","1378","n/e","3845","3845","n/e"
"02.01.2024 18:30 - 02.01.2024 18:45","0","0","n/e","1377","1377","n/e","3888","3888","n/e"
"02.01.2024 18:45 - 02.01.2024 19:00","0","0","n/e","1377","1377","n/e","3931","3931","n/e"
"02.01.2024 19:00 - 02.01.2024 19:15","0","0","n/e","1376","1376","n/e","3972","3972","n/e"
"02.01.2024 19:15 - 02.01.2024 19:30","0","0","n/e","1376","1376","n/e","4016","4016","n/e"
"02.01.2024 19:30 - 02.01.2024 19:45","0","0","n/e","1376","1376","n/e","4055","4055","n/e"
"02.01.2024 19:45 - 02.01.2024 20:00","0","0","n/e","1377","1377","n/e","4097","4097","n/e"
"02.01.2024 20:00 - 02.01.2024 20:15","0","0","n/e","1377","1377","n/e","4142","4142","n/e"
"02.01.2024 20:15 - 02.01.2024 20:30","0","0","n/e","1378","1378","n/e","4178","4178","n/e"
"02.01.2024 20:30 - 02.01.2024 20:45","0","0","n/e","1379","1379","n/e","4213","4213","n/e"
"02.01.2024 20:45 - 02.01.2024 21:00","0","0","n/e","1380","1380","n/e","4247","4247","n/e"
"02.01.2024 21:00 - 02.01.2024 21:15","0","0","n/e","1381","1381","n/e","4282","4282","n/e"
"02.01.2024 21:15 - 02.01.2024 21:30","0","0","n/e","1381","1381","n/e","4315","4315","n/e"
"02.01.2024 21:30 - 02.01.2024 21:45","0","0","n/e","1381","1381","n/e","4342","4342","n/e"
"02.01.2024 21:45 - 02.01.2024 22:00","0","0","n/e","1382","1382","n/e","4372","4372","n/e"
"02.01.2024 22:00 - 02.01.2024 22:15","0","0","n/e","1382","1382","n/e","4399","4399","n/e"
"02.01.2024 22:15 - 02.01.2024 22:30","0","0","n/e","1382","1382","n/e","4417","4417","n/e"
"02.01.2024 22:30 - 02.01.2024 22:45","0","0","n/e","1381","1381","n/e","4426","4426","n/e"
"02.01.2024 22:45 - 02.01.2024 23:00","0","0","n/e","1380","1380","n/e","4437","4437","n/e"
"02.01.2024 23:00 - 02.01.2024 23:15","0","0","n/e","1380","1380","n/e","4446","4446","n/e"
"02.01.2024 23:15 - 02.01.2024 23:30","0","0","n/e","1379","1379","n/e","4454","4454","n/e"
"02.01.2024 23:30 - 02.01.2024 23:45","0","0","n/e","1378","1378","n/e","4465","4465","n/e"
"02.01.2024 23:45 - 03.01.2024 00:00","0","0","n/e","1378","1378","n/e","4475","4475","n/e"
"03.01.2024 00:00 - 03.01.2024 00:15","0","0","n/e","1377","1377","n/e","4486","4486","n/e"
"03.01.2024 00:15 - 03.01.2024 00:30","0","0","n/e","1376","1376","n/e","4494","4494","n/e"
"03.01.2024 00:30 - 03.01.2024 00:45","0","0","n/e","1375","1375","n/e","4498","4498","n/e"
"03.01.2024 00:45 - 03.01.2024 01:00","0","0","n/e","1374","1374","n/e","4504","4504","n/e"
"03.01.2024 01:00 - 03.01.2024 01:15","0","0","n/e","1373","1373","n/e","4508","4508","n/e"
"03.01.2024 01:15 - 03.01.2024 01:30","0","0","n/e","1372","1372","n/e","4516","4516","n/e"
"03.01.2024 01:30 - 03.01.2024 01:45","0","0","n/e","1371","1371","n/e","4522","4522","n/e"
"03.01.2024 01:45 - 03.01.2024 02:00","0","0","n/e","1370","1370","n/e","4532","4532","n/e"
"03.01.2024 02:00 - 03.01.2024 02:15","0","0","n/e","1369","1369","n/e","4540","4540","n/e"
"03.01.2024 02:15 - 03.01.2024 02:30","0","0","n/e","1368","1368","n/e","4544","4544","n/e"
"03.01.2024 02:30 - 03.01.2024 02:45","0","0","n/e","1367","1367","n/e","4542","4542","n/e"
"03.01.2024 02:45 - 03.01.2024 03:00","0","0","n/e","1366","1366","n/e","4542","4542","n/e"
"03.01.2024 03:00 - 03.01.2024 03:15","0","0","n/e","1365","1365","n/e","4539","4539","n/e"
"03.01.2024 03:15 - 03.01.2024 03:30","0","0","n/e","1364","1364","n/e","4535","4535","n/e"
"03.01.2024 03:30 - 03.01.2024 03:45","0","0","n/e","1364","1364","n/e","4531","4531","n/e"
"03.01.2024 03:45 - 03.01.2024 04:00","0","0","n/e","1363","1363","n/e","4527","4527","n/e"
"03.01.2024 04:00 - 03.01.2024 04:15","0","0","n/e","1363","1363","n/e","4521","4521","n/e"
"03.01.2024 04:15 - 03.01.2024 04:30","0","0","n/e","1363","1363","n/e","4516","4516","n/e"
"03.01.2024 04:30 - 03.01.2024 04:45","0","0","n/e","1362","1362","n/e","4510","4510","n/e"
"03.01.2024 04:45 - 03.01.2024 05:00","0","0","n/e","1362","1362","n/e","4498","4498","n/e"
"03.01.2024 05:00 - 03.01.2024 05:15","0","0","n/e","1362","1362","n/e","4493","4493","n/e"
"03.01.2024 05:15 - 03.01.2024 05:30","0","0","n/e","1361","1361","n/e","4484","4484","n/e"
"03.01.2024 05:30 - 03.01.2024 05:45","0","0","n/e","1359","1359","n/e","4472","4472","n/e"
"03.01.2024 05:45 - 03.01.2024 06:00","0","0","n/e","1357","1357","n/e","4460","4460","n/e"
"03.01.2024 06:00 - 03.01.2024 06:15","0","0","n/e","1355","1355","n/e","4447","4447","n/e"
"03.01.2024 06:15 - 03.01.2024 06:30","0","0","n/e","1353","1353","n/e","4425","4425","n/e"
"03.01.2024 06:30 - 03.01.2024 06:45","0","0","n/e","1351","1351","n/e","4389","4389","n/e"
"03.01.2024 06:45 - 03.01.2024 07:00","0","0","n/e","1350","1350","n/e","4351","4351","n/e"
"03.01.2024 07:00 - 03.01.2024 07:15","0","0","n/e","1348","1348","n/e","4316","4316","n/e"
"03.01.2024 07:15 - 03.01.2024 07:30","0","0","n/e","1348","1348","n/e","4287","4287","n/e"
"03.01.2024 07:30 - 03.01.2024 07:45","0","0","n/e","1350","1350","n/e","4265","4265","n/e"
"03.01.2024 07:45 - 03.01.2024 08:00","0","0","n/e","1351","1351","n/e","4242","4242","n/e"
"03.01.2024 08:00 - 03.01.2024 08:15","0","0","n/e","1352","1352","n/e","4224","4224","n/e"
"03.01.2024 08:15 - 03.01.2024 08:30","0","0","n/e","1354","1354","n/e","4191","4191","n/e"
"03.01.2024 08:30 - 03.01.2024 08:45","0","0","n/e","1355","1355","n/e","4153","4153","n/e"
"03.01.2024 08:45 - 03.01.2024 09:00","0","0","n/e","1357","1357","n/e","4116","4116","n/e"
"03.01.2024 09:00 - 03.01.2024 09:15","0","0","n/e","1359","1359","n/e","4074","4074","n/e"
"03.01.2024 09:15 - 03.01.2024 09:30","41","41","n/e","1360","1360","n/e","4037","4037","n/e"
"03.01.2024 09:30 - 03.01.2024 09:45","80","80","n/e","1360","1360","n/e","4005","4005","n/e"
"03.01.2024 09:45 - 03.01.2024 10:00","119","119","n/e","1360","1360","n/e","3969","3969","n/e"
"03.01.2024 10:00 - 03.01.2024 10:15","158","158","n/e","1361","1361","n/e","3936","3936","n/e"
"03.01.2024 10:15 - 03.01.2024 10:30","303","303","n/e","1361","1361","n/e","3926","3926","n/e"
"03.01.2024 10:30 - 03.01.2024 10:45","447","447","n/e","1361","1361","n/e","3942","3942","n/e"
"03.01.2024 10:45 - 03.01.2024 11:00","591","591","n/e","1361","1361","n/e","3955","3955","n/e"
"03.01.2024 11:00 - 03.01.2024 11:15","736","736","n/e","1361","1361","n/e","3969","3969","n/e"
"03.01.2024 11:15 - 03.01.2024 11:30","789","789","n/e","1362","1362","n/e","3982","3982","n/e"
"03.01.2024 11:30 - 03.01.2024 11:45","841","841","n/e","1362","1362","n/e","3993","3993","n/e"
"03.01.2024 11:45 - 03.01.2024 12:00","896","896","n/e","1363","1363","n/e","4003","4003","n/e"
"03.01.2024 12:00 - 03.01.2024 12:15","949","949","n/e","1364","1364","n/e","4015","4015","n/e"
"03.01.2024 12:15 - 03.01.2024 12:30","972","972","n/e","1365","1365","n/e","4020","4020","n/e"
"03.01.2024 12:30 - 03.01.2024 12:45","998","998","n/e","1366","1366","n/e","4014","4014","n/e"
"03.01.2024 12:45 - 03.01.2024 13:00","1021","1021","n/e","1368","1368","n/e","4008","4008","n/e"
"03.01.2024 13:00 - 03.01.2024 13:15","1044","1044","n/e","1369","1369","n/e","4006","4006","n/e"
"03.01.2024 13:15 - 03.01.2024 13:30","1016","1016","n/e","1372","1372","n/e","3994","3994","n/e"
"03.01.2024 13:30 - 03.01.2024 13:45","987","987","n/e","1376","1376","n/e","3975","3975","n/e"
"03.01.2024 13:45 - 03.01.2024 14:00","956","956","n/e","1380","1380","n/e","3956","3956","n/e"
"03.01.2024 14:00 - 03.01.2024 14:15","928","928","n/e","1385","1385","n/e","3939","3939","n/e"
