"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2024 00:00 - 01.01.2024 00:15","0","0","n/e","1408","1408","n/e","4645","4645","n/e"
"01.01.2024 00:15 - 01.01.2024 00:30","0","0","n/e","1406","1406","n/e","4631","4631","n/e"
"01.01.2024 00:30 - 01.01.2024 00:45","0","0","n/e","1403","1403","n/e","4620","4620","n/e"
"01.01.2024 00:45 - 01.01.2024 01:00","0","0","n/e","1400","1400","n/e","4608","4608","n/e"
"01.01.2024 01:00 - 01.01.2024 01:15","0","0","n/e","1397","1397","n/e","4596","4596","n/e"
"01.01.2024 01:15 - 01.01.2024 01:30","0","0","n/e","1395","1395","n/e","4582","4582","n/e"
"01.01.2024 01:30 - 01.01.2024 01:45","0","0","n/e","1394","1394","n/e","4564","4564","n/e"
"01.01.2024 01:45 - 01.01.2024 02:00","0","0","n/e","1392","1392","n/e","4547","4547","n/e"
"01.01.2024 02:00 - 01.01.2024 02:15","0","0","n/e","1391","1391","n/e","4530","4530","n/e"
"01.01.2024 02:15 - 01.01.2024 02:30","0","0","n/e","1389","1389","n/e","4515","4515","n/e"
"01.01.2024 02:30 - 01.01.2024 02:45","0","0","n/e","1387","1387","n/e","4499","4499","n/e"
"01.01.2024 02:45 - 01.01.2024 03:00","0","0","n/e","1385","1385","n/e","4486","4486","n/e"
"01.01.2024 03:00 - 01.01.2024 03:15","0","0","n/e","1383","1383","n/e","4470","4470","n/e"
"01.01.2024 03:15 - 01.01.2024 03:30","0","0","n/e","1382","1382","n/e","4451","4451","n/e"
"01.01.2024 03:30 - 01.01.2024 03:45","0","0","n/e","1382","1382","n/e","4427","4427","n/e"
"01.01.2024 03:45 - 01.01.2024 04:00","0","0","n/e","1382","1382","n/e","4407","4407","n/e"
"01.01.2024 04:00 - 01.01.2024 04:15","0","0","n/e","1382","1382","n/e","4387","4387","n/e"
"01.01.2024 04:15 - 01.01.2024 04:30","0","0","n/e","1385","1385","n/e","4356","4356","n/e"
"01.01.2024 04:30 - 01.01.2024 04:45","0","0","n/e","1392","1392","n/e","4316","4316","n/e"
"01.01.2024 04:45 - 01.01.2024 05:00","0","0","n/e","1400","1400","n/e","4276","4276","n/e"
"01.01.2024 05:00 - 01.01.2024 05:15","0","0","n/e","1407","1407","n/e","4236","4236","n/e"
"01.01.2024 05:15 - 01.01.2024 05:30","0","0","n/e","1410","1410","n/e","4215","4215","n/e"
"01.01.2024 05:30 - 01.01.2024 05:45","0","0","n/e","1410","1410","n/e","4204","4204","n/e"
"01.01.2024 05:45 - 01.01.2024 06:00","0","0","n/e","1411","1411","n/e","4193","4193","n/e"
"01.01.2024 06:00 - 01.01.2024 06:15","0","0","n/e","1411","1411","n/e","4184","4184","n/e"
"01.01.2024 06:15 - 01.01.2024 06:30","0","0","n/e","1411","1411","n/e","4172","4172","n/e"
"01.01.2024 06:30 - 01.01.2024 06:45","0","0","n/e","1411","1411","n/e","4160","4160","n/e"
"01.01.2024 06:45 - 01.01.2024 07:00","0","0","n/e","1411","1411","n/e","4147","4147","n/e"
"01.01.2024 07:00 - 01.01.2024 07:15","0","0","n/e","1410","1410","n/e","4133","4133","n/e"
"01.01.2024 07:15 - 01.01.2024 07:30","0","0","n/e","1409","1409","n/e","4113","4113","n/e"
"01.01.2024 07:30 - 01.01.2024 07:45","0","0","n/e","1407","1407","n/e","4082","4082","n/e"
"01.01.2024 07:45 - 01.01.2024 08:00","0","0","n/e","1405","1405","n/e","4054","4054","n/e"
"01.01.2024 08:00 - 01.01.2024 08:15","0","0","n/e","1403","1403","n/e","4022","4022","n/e"
"01.01.2024 08:15 - 01.01.2024 08:30","0","0","n/e","1400","1400","n/e","3994","3994","n/e"
"01.01.2024 08:30 - 01.01.2024 08:45","0","0","n/e","1397","1397","n/e","3964","3964","n/e"
"01.01.2024 08:45 - 01.01.2024 09:00","0","0","n/e","1394","1394","n/e","3935","3935","n/e"
"01.01.2024 09:00 - 01.01.2024 09:15","0","0","n/e","1391","1391","n/e","3907","3907","n/e"
"01.01.2024 09:15 - 01.01.2024 09:30","29","29","n/e","1387","1387","n/e","3880","3880","n/e"
"01.01.2024 09:30 - 01.01.2024 09:45","56","56","n/e","1383","1383","n/e","3858","3858","n/e"
"01.01.2024 09:45 - 01.01.2024 10:00","84","84","n/e","1380","1380","n/e","3835","3835","n/e"
"01.01.2024 10:00 - 01.01.2024 10:15","115","115","n/e","1376","1376","n/e","3810","3810","n/e"
"01.01.2024 10:15 - 01.01.2024 10:30","216","216","n/e","1373","1373","n/e","3798","3798","n/e"
"01.01.2024 10:30 - 01.01.2024 10:45","319","319","n/e","1371","1371","n/e","3796","3796","n/e"
"01.01.2024 10:45 - 01.01.2024 11:00","420","420","n/e","1369","1369","n/e","3792","3792","n/e"
"01.01.2024 11:00 - 01.01.2024 11:15","522","522","n/e","1367","1367","n/e","3790","3790","n/e"
"01.01.2024 11:15 - 01.01.2024 11:30","560","560","n/e","1365","1365","n/e","3789","3789","n/e"
"01.01.2024 11:30 - 01.01.2024 11:45","602","602","n/e","1362","1362","n/e","3791","3791","n/e"
"01.01.2024 11:45 - 01.01.2024 12:00","638","638","n/e","1360","1360","n/e","3794","3794","n/e"
"01.01.2024 12:00 - 01.01.2024 12:15","678","678","n/e","1358","1358","n/e","3797","3797","n/e"
"01.01.2024 12:15 - 01.01.2024 12:30","697","697","n/e","1357","1357","n/e","3795","3795","n/e"
"01.01.2024 12:30 - 01.01.2024 12:45","713","713","n/e","1357","1357","n/e","3791","3791","n/e"
"01.01.2024 12:45 - 01.01.2024 13:00","731","731","n/e","1357","1357","n/e","3786","3786","n/e"
"01.01.2024 13:00 - 01.01.2024 13:15","749","749","n/e","1357","1357","n/e","3779","3779","n/e"
"01.01.2024 13:15 - 01.01.2024 13:30","830","830","n/e","1361","1361","n/e","3763","3763","n/e"
"01.01.2024 13:30 - 01.01.2024 13:45","913","913","n/e","1369","1369","n/e","3735","3735","n/e"
"01.01.2024 13:45 - 01.01.2024 14:00","997","997","n/e","1376","1376","n/e","3708","3708","n/e"
"01.01.2024 14:00 - 01.01.2024 14:15","1076","1076","n/e","1383","1383","n/e","3679","3679","n/e"
"01.01.2024 14:15 - 01.01.2024 14:30","1036","1036","n/e","1387","1387","n/e","3647","3647","n/e"
"01.01.2024 14:30 - 01.01.2024 14:45","990","990","n/e","1386","1386","n/e","3613","3613","n/e"
"01.01.2024 14:45 - 01.01.2024 15:00","947","947","n/e","1385","1385","n/e","3575","3575","n/e"
"01.01.2024 15:00 - 01.01.2024 15:15","904","904","n/e","1385","1385","n/e","3541","3541","n/e"
"01.01.2024 15:15 - 01.01.2024 15:30","831","831","n/e","1384","1384","n/e","3502","3502","n/e"
"01.01.2024 15:30 - 01.01.2024 15:45","759","759","n/e","1382","1382","n/e","3459","3459","n/e"
"01.01.2024 15:45 - 01.01.2024 16:00","686","686","n/e","1381","1381","n/e","3412","3412","n/e"
"01.01.2024 16:00 - 01.01.2024 16:15","612","612","n/e","1380","1380","n/e","3370","3370","n/e"
"01.01.2024 16:15 - 01.01.2024 16:30","471","471","n/e","1378","1378","n/e","3312","3312","n/e"
"01.01.2024 16:30 - 01.01.2024 16:45","331","331","n/e","1375","1375","n/e","3238","3238","n/e"
"01.01.2024 16:45 - 01.01.2024 17:00","189","189","n/e","1372","1372","n/e","3165","3165","n/e"
"01.01.2024 17:00 - 01.01.2024 17:15","52","52","n/e","1369","1369","n/e","3093","3093","n/e"
"01.01.2024 17:15 - 01.01.2024 17:30","41","41","n/e","1365","1365","n/e","3019","3019","n/e"
"01.01.2024 17:30 - 01.01.2024 17:45","25","25","n/e","1359","1359","n/e","2942","2942","n/e"
"01.01.2024 17:45 - 01.01.2024 18:00","12","12","n/e","1354","1354","n/e","2865","2865","n/e"
"01.01.2024 18:00 - 01.01.2024 18:15","0","0","n/e","1349","1349","n/e","2789","2789","n/e"
"01.01.2024 18:15 - 01.01.2024 18:30","0","0","n/e","1338","1338","n/e","2712","2712","n/e"
