"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"02.01.2022 14:45 - 02.01.2022 15:00","1385","1385","n/e","1425","1425","n/e","4460","4460","n/e"
"02.01.2022 15:00 - 02.01.2022 15:15","1325","1325","n/e","1421","1421","n/e","4434","4434","n/e"
"02.01.2022 15:15 - 02.01.2022 15:30","1231","1231","n/e","1418","1418","n/e","4374","4374","n/e"
"02.01.2022 15:30 - 02.01.2022 15:45","1134","1134","n/e","1415","1415","n/e","4276","4276","n/e"
"02.01.2022 15:45 - 02.01.2022 16:00","1036","1036","n/e","1412","1412","n/e","4178","4178","n/e"
"02.01.2022 16:00 - 02.01.2022 16:15","939","939","n/e","1409","1409","n/e","4081","4081","n/e"
"02.01.2022 16:15 - 02.01.2022 16:30","724","724","n/e","1409","1409","n/e","4012","4012","n/e"
"02.01.2022 16:30 - 02.01.2022 16:45","509","509","n/e","1413","1413","n/e","3969","3969","n/e"
"02.01.2022 16:45 - 02.01.2022 17:00","292","292","n/e","1416","1416","n/e","3927","3927","n/e"
"02.01.2022 17:00 - 02.01.2022 17:15","78","78","n/e","1419","1419","n/e","3886","3886","n/e"
"02.01.2022 17:15 - 02.01.2022 17:30","57","57","n/e","1420","1420","n/e","3845","3845","n/e"
"02.01.2022 17:30 - 02.01.2022 17:45","39","39","n/e","1419","1419","n/e","3804","3804","n/e"
"02.01.2022 17:45 - 02.01.2022 18:00","18","18","n/e","1418","1418","n/e","3762","3762","n/e"
"02.01.2022 18:00 - 02.01.2022 18:15","0","0","n/e","1417","1417","n/e","3721","3721","n/e"
"02.01.2022 18:15 - 02.01.2022 18:30","0","0","n/e","1415","1415","n/e","3671","3671","n/e"
"02.01.2022 18:30 - 02.01.2022 18:45","0","0","n/e","1414","1414","n/e","3617","3617","n/e"
"02.01.2022 18:45 - 02.01.2022 19:00","0","0","n/e","1413","1413","n/e","3559","3559","n/e"
"02.01.2022 19:00 - 02.01.2022 19:15","0","0","n/e","1412","1412","n/e","3502","3502","n/e"
"02.01.2022 19:15 - 02.01.2022 19:30","0","0","n/e","1411","1411","n/e","3465","3465","n/e"
"02.01.2022 19:30 - 02.01.2022 19:45","0","0","n/e","1410","1410","n/e","3442","3442","n/e"
"02.01.2022 19:45 - 02.01.2022 20:00","0","0","n/e","1409","1409","n/e","3420","3420","n/e"
"02.01.2022 20:00 - 02.01.2022 20:15","0","0","n/e","1408","1408","n/e","3399","3399","n/e"
"02.01.2022 20:15 - 02.01.2022 20:30","0","0","n/e","1408","1408","n/e","3393","3393","n/e"
"02.01.2022 20:30 - 02.01.2022 20:45","0","0","n/e","1409","1409","n/e","3401","3401","n/e"
"02.01.2022 20:45 - 02.01.2022 21:00","0","0","n/e","1410","1410","n/e","3412","3412","n/e"
"02.01.2022 21:00 - 02.01.2022 21:15","0","0","n/e","1412","1412","n/e","3418","3418","n/e"
"02.01.2022 21:15 - 02.01.2022 21:30","0","0","n/e","1413","1413","n/e","3414","3414","n/e"
"02.01.2022 21:30 - 02.01.2022 21:45","0","0","n/e","1414","1414","n/e","3399","3399","n/e"
"02.01.2022 21:45 - 02.01.2022 22:00","0","0","n/e","1415","1415","n/e","3385","3385","n/e"
"02.01.2022 22:00 - 02.01.2022 22:15","0","0","n/e","1416","1416","n/e","3367","3367","n/e"
"02.01.2022 22:15 - 02.01.2022 22:30","0","0","n/e","1415","1415","n/e","3425","3425","n/e"
"02.01.2022 22:30 - 02.01.2022 22:45","0","0","n/e","1413","1413","n/e","3555","3555","n/e"
"02.01.2022 22:45 - 02.01.2022 23:00","0","0","n/e","1410","1410","n/e","3687","3687","n/e"
"02.01.2022 23:00 - 02.01.2022 23:15","0","0","n/e","1407","1407","n/e","3815","3815","n/e"
"02.01.2022 23:15 - 02.01.2022 23:30","0","0","n/e","1408","1408","n/e","3906","3906","n/e"
"02.01.2022 23:30 - 02.01.2022 23:45","0","0","n/e","1414","1414","n/e","3946","3946","n/e"
"02.01.2022 23:45 - 03.01.2022 00:00","0","0","n/e","1420","1420","n/e","3989","3989","n/e"
"03.01.2022 00:00 - 03.01.2022 00:15","0","0","n/e","1429","1429","n/e","4398","4398","n/e"
"03.01.2022 00:15 - 03.01.2022 00:30","0","0","n/e","1430","1430","n/e","4395","4395","n/e"
"03.01.2022 00:30 - 03.01.2022 00:45","0","0","n/e","1429","1429","n/e","4362","4362","n/e"
"03.01.2022 00:45 - 03.01.2022 01:00","0","0","n/e","1428","1428","n/e","4332","4332","n/e"
"03.01.2022 01:00 - 03.01.2022 01:15","0","0","n/e","1428","1428","n/e","4301","4301","n/e"
"03.01.2022 01:15 - 03.01.2022 01:30","0","0","n/e","1428","1428","n/e","4295","4295","n/e"
"03.01.2022 01:30 - 03.01.2022 01:45","0","0","n/e","1431","1431","n/e","4316","4316","n/e"
"03.01.2022 01:45 - 03.01.2022 02:00","0","0","n/e","1433","1433","n/e","4335","4335","n/e"
"03.01.2022 02:00 - 03.01.2022 02:15","0","0","n/e","1435","1435","n/e","4356","4356","n/e"
"03.01.2022 02:15 - 03.01.2022 02:30","0","0","n/e","1437","1437","n/e","4365","4365","n/e"
"03.01.2022 02:30 - 03.01.2022 02:45","0","0","n/e","1438","1438","n/e","4370","4370","n/e"
"03.01.2022 02:45 - 03.01.2022 03:00","0","0","n/e","1439","1439","n/e","4369","4369","n/e"
"03.01.2022 03:00 - 03.01.2022 03:15","0","0","n/e","1441","1441","n/e","4371","4371","n/e"
"03.01.2022 03:15 - 03.01.2022 03:30","0","0","n/e","1441","1441","n/e","4365","4365","n/e"
"03.01.2022 03:30 - 03.01.2022 03:45","0","0","n/e","1441","1441","n/e","4350","4350","n/e"
"03.01.2022 03:45 - 03.01.2022 04:00","0","0","n/e","1441","1441","n/e","4335","4335","n/e"
"03.01.2022 04:00 - 03.01.2022 04:15","0","0","n/e","1441","1441","n/e","4320","4320","n/e"
"03.01.2022 04:15 - 03.01.2022 04:30","0","0","n/e","1441","1441","n/e","4311","4311","n/e"
"03.01.2022 04:30 - 03.01.2022 04:45","0","0","n/e","1440","1440","n/e","4308","4308","n/e"
"03.01.2022 04:45 - 03.01.2022 05:00","0","0","n/e","1439","1439","n/e","4303","4303","n/e"
"03.01.2022 05:00 - 03.01.2022 05:15","0","0","n/e","1439","1439","n/e","4299","4299","n/e"
"03.01.2022 05:15 - 03.01.2022 05:30","0","0","n/e","1437","1437","n/e","4273","4273","n/e"
"03.01.2022 05:30 - 03.01.2022 05:45","0","0","n/e","1436","1436","n/e","4225","4225","n/e"
"03.01.2022 05:45 - 03.01.2022 06:00","0","0","n/e","1434","1434","n/e","4175","4175","n/e"
"03.01.2022 06:00 - 03.01.2022 06:15","0","0","n/e","1432","1432","n/e","4125","4125","n/e"
"03.01.2022 06:15 - 03.01.2022 06:30","0","0","n/e","1430","1430","n/e","4081","4081","n/e"
"03.01.2022 06:30 - 03.01.2022 06:45","0","0","n/e","1427","1427","n/e","4044","4044","n/e"
"03.01.2022 06:45 - 03.01.2022 07:00","0","0","n/e","1425","1425","n/e","4006","4006","n/e"
"03.01.2022 07:00 - 03.01.2022 07:15","0","0","n/e","1422","1422","n/e","3969","3969","n/e"
"03.01.2022 07:15 - 03.01.2022 07:30","0","0","n/e","1420","1420","n/e","3943","3943","n/e"
"03.01.2022 07:30 - 03.01.2022 07:45","0","0","n/e","1418","1418","n/e","3929","3929","n/e"
"03.01.2022 07:45 - 03.01.2022 08:00","0","0","n/e","1416","1416","n/e","3912","3912","n/e"
"03.01.2022 08:00 - 03.01.2022 08:15","0","0","n/e","1414","1414","n/e","3896","3896","n/e"
"03.01.2022 08:15 - 03.01.2022 08:30","0","0","n/e","1411","1411","n/e","3876","3876","n/e"
"03.01.2022 08:30 - 03.01.2022 08:45","0","0","n/e","1407","1407","n/e","3853","3853","n/e"
"03.01.2022 08:45 - 03.01.2022 09:00","0","0","n/e","1403","1403","n/e","3828","3828","n/e"
"03.01.2022 09:00 - 03.01.2022 09:15","2","2","n/e","1400","1400","n/e","3805","3805","n/e"
"03.01.2022 09:15 - 03.01.2022 09:30","120","120","n/e","1398","1398","n/e","3785","3785","n/e"
"03.01.2022 09:30 - 03.01.2022 09:45","241","241","n/e","1397","1397","n/e","3767","3767","n/e"
"03.01.2022 09:45 - 03.01.2022 10:00","361","361","n/e","1397","1397","n/e","3750","3750","n/e"
"03.01.2022 10:00 - 03.01.2022 10:15","481","481","n/e","1397","1397","n/e","3732","3732","n/e"
"03.01.2022 10:15 - 03.01.2022 10:30","742","742","n/e","1397","1397","n/e","3737","3737","n/e"
