"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2022 13:30 - 01.01.2022 13:45","1310","1310","n/e","1239","1239","n/e","2059","2059","n/e"
"01.01.2022 13:45 - 01.01.2022 14:00","1290","1290","n/e","1246","1246","n/e","2088","2088","n/e"
"01.01.2022 14:00 - 01.01.2022 14:15","1270","1270","n/e","1253","1253","n/e","2117","2117","n/e"
"01.01.2022 14:15 - 01.01.2022 14:30","1218","1218","n/e","1258","1258","n/e","2142","2142","n/e"
"01.01.2022 14:30 - 01.01.2022 14:45","1165","1165","n/e","1262","1262","n/e","2163","2163","n/e"
"01.01.2022 14:45 - 01.01.2022 15:00","1112","1112","n/e","1266","1266","n/e","2186","2186","n/e"
"01.01.2022 15:00 - 01.01.2022 15:15","1062","1062","n/e","1270","1270","n/e","2206","2206","n/e"
"01.01.2022 15:15 - 01.01.2022 15:30","972","972","n/e","1274","1274","n/e","2238","2238","n/e"
"01.01.2022 15:30 - 01.01.2022 15:45","884","884","n/e","1277","1277","n/e","2281","2281","n/e"
"01.01.2022 15:45 - 01.01.2022 16:00","795","795","n/e","1281","1281","n/e","2318","2318","n/e"
"01.01.2022 16:00 - 01.01.2022 16:15","707","707","n/e","1284","1284","n/e","2358","2358","n/e"
"01.01.2022 16:15 - 01.01.2022 16:30","544","544","n/e","1293","1293","n/e","2385","2385","n/e"
"01.01.2022 16:30 - 01.01.2022 16:45","380","380","n/e","1305","1305","n/e","2402","2402","n/e"
"01.01.2022 16:45 - 01.01.2022 17:00","218","218","n/e","1318","1318","n/e","2416","2416","n/e"
"01.01.2022 17:00 - 01.01.2022 17:15","54","54","n/e","1330","1330","n/e","2431","2431","n/e"
"01.01.2022 17:15 - 01.01.2022 17:30","40","40","n/e","1338","1338","n/e","2455","2455","n/e"
"01.01.2022 17:30 - 01.01.2022 17:45","26","26","n/e","1341","1341","n/e","2487","2487","n/e"
"01.01.2022 17:45 - 01.01.2022 18:00","13","13","n/e","1344","1344","n/e","2517","2517","n/e"
"01.01.2022 18:00 - 01.01.2022 18:15","0","0","n/e","1346","1346","n/e","2552","2552","n/e"
"01.01.2022 18:15 - 01.01.2022 18:30","0","0","n/e","1344","1344","n/e","2585","2585","n/e"
