"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2023 00:00 - 01.01.2023 00:15","0","0","n/e","1655","1655","n/e","5862","5862","n/e"
"01.01.2023 00:15 - 01.01.2023 00:30","0","0","n/e","1654","1654","n/e","5851","5851","n/e"
"01.01.2023 00:30 - 01.01.2023 00:45","0","0","n/e","1651","1651","n/e","5841","5841","n/e"
"01.01.2023 00:45 - 01.01.2023 01:00","0","0","n/e","1649","1649","n/e","5830","5830","n/e"
"01.01.2023 01:00 - 01.01.2023 01:15","0","0","n/e","1646","1646","n/e","5822","5822","n/e"
"01.01.2023 01:15 - 01.01.2023 01:30","0","0","n/e","1645","1645","n/e","5803","5803","n/e"
"01.01.2023 01:30 - 01.01.2023 01:45","0","0","n/e","1645","1645","n/e","5777","5777","n/e"
"01.01.2023 01:45 - 01.01.2023 02:00","0","0","n/e","1645","1645","n/e","5754","5754","n/e"
"01.01.2023 02:00 - 01.01.2023 02:15","0","0","n/e","1645","1645","n/e","5728","5728","n/e"
"01.01.2023 02:15 - 01.01.2023 02:30","0","0","n/e","1645","1645","n/e","5704","5704","n/e"
"01.01.2023 02:30 - 01.01.2023 02:45","0","0","n/e","1645","1645","n/e","5680","5680","n/e"
"01.01.2023 02:45 - 01.01.2023 03:00","0","0","n/e","1645","1645","n/e","5651","5651","n/e"
"01.01.2023 03:00 - 01.01.2023 03:15","0","0","n/e","1645","1645","n/e","5626","5626","n/e"
"01.01.2023 03:15 - 01.01.2023 03:30","0","0","n/e","1645","1645","n/e","5599","5599","n/e"
"01.01.2023 03:30 - 01.01.2023 03:45","0","0","n/e","1644","1644","n/e","5568","5568","n/e"
"01.01.2023 03:45 - 01.01.2023 04:00","0","0","n/e","1644","1644","n/e","5538","5538","n/e"
"01.01.2023 04:00 - 01.01.2023 04:15","0","0","n/e","1644","1644","n/e","5508","5508","n/e"
