"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.01.2023 04:15 - 01.01.2023 04:30","0","0","n/e","1643","1643","n/e","5476","5476","n/e"
"01.01.2023 04:30 - 01.01.2023 04:45","0","0","n/e","1640","1640","n/e","5446","5446","n/e"
"01.01.2023 04:45 - 01.01.2023 05:00","0","0","n/e","1638","1638","n/e","5413","5413","n/e"
"01.01.2023 05:00 - 01.01.2023 05:15","0","0","n/e","1636","1636","n/e","5380","5380","n/e"
"01.01.2023 05:15 - 01.01.2023 05:30","0","0","n/e","1633","1633","n/e","5316","5316","n/e"
"01.01.2023 05:30 - 01.01.2023 05:45","0","0","n/e","1629","1629","n/e","5219","5219","n/e"
"01.01.2023 05:45 - 01.01.2023 06:00","0","0","n/e","1625","1625","n/e","5122","5122","n/e"
"01.01.2023 06:00 - 01.01.2023 06:15","0","0","n/e","1622","1622","n/e","5025","5025","n/e"
"01.01.2023 06:15 - 01.01.2023 06:30","0","0","n/e","1617","1617","n/e","4955","4955","n/e"
"01.01.2023 06:30 - 01.01.2023 06:45","0","0","n/e","1610","1610","n/e","4910","4910","n/e"
"01.01.2023 06:45 - 01.01.2023 07:00","0","0","n/e","1604","1604","n/e","4866","4866","n/e"
"01.01.2023 07:00 - 01.01.2023 07:15","0","0","n/e","1598","1598","n/e","4822","4822","n/e"
"01.01.2023 07:15 - 01.01.2023 07:30","0","0","n/e","1593","1593","n/e","4775","4775","n/e"
"01.01.2023 07:30 - 01.01.2023 07:45","0","0","n/e","1589","1589","n/e","4721","4721","n/e"
"01.01.2023 07:45 - 01.01.2023 08:00","0","0","n/e","1585","1585","n/e","4669","4669","n/e"
"01.01.2023 08:00 - 01.01.2023 08:15","0","0","n/e","1581","1581","n/e","4618","4618","n/e"
"01.01.2023 08:15 - 01.01.2023 08:30","0","0","n/e","1579","1579","n/e","4564","4564","n/e"
"01.01.2023 08:30 - 01.01.2023 08:45","0","0","n/e","1579","1579","n/e","4507","4507","n/e"
"01.01.2023 08:45 - 01.01.2023 09:00","0","0","n/e","1579","1579","n/e","4450","4450","n/e"
"01.01.2023 09:00 - 01.01.2023 09:15","0","0","n/e","1579","1579","n/e","4392","4392","n/e"
"01.01.2023 09:15 - 01.01.2023 09:30","38","38","n/e","1578","1578","n/e","4335","4335","n/e"
"01.01.2023 09:30 - 01.01.2023 09:45","75","75","n/e","1576","1576","n/e","4278","4278","n/e"
"01.01.2023 09:45 - 01.01.2023 10:00","111","111","n/e","1574","1574","n/e","4223","4223","n/e"
"01.01.2023 10:00 - 01.01.2023 10:15","147","147","n/e","1572","1572","n/e","4166","4166","n/e"
"01.01.2023 10:15 - 01.01.2023 10:30","277","277","n/e","1571","1571","n/e","4117","4117","n/e"
"01.01.2023 10:30 - 01.01.2023 10:45","407","407","n/e","1570","1570","n/e","4079","4079","n/e"
"01.01.2023 10:45 - 01.01.2023 11:00","537","537","n/e","1569","1569","n/e","4041","4041","n/e"
"01.01.2023 11:00 - 01.01.2023 11:15","666","666","n/e","1568","1568","n/e","4000","4000","n/e"
"01.01.2023 11:15 - 01.01.2023 11:30","717","717","n/e","1565","1565","n/e","3963","3963","n/e"
"01.01.2023 11:30 - 01.01.2023 11:45","771","771","n/e","1561","1561","n/e","3931","3931","n/e"
"01.01.2023 11:45 - 01.01.2023 12:00","823","823","n/e","1556","1556","n/e","3899","3899","n/e"
"01.01.2023 12:00 - 01.01.2023 12:15","876","876","n/e","1552","1552","n/e","3866","3866","n/e"
"01.01.2023 12:15 - 01.01.2023 12:30","898","898","n/e","1547","1547","n/e","3834","3834","n/e"
"01.01.2023 12:30 - 01.01.2023 12:45","920","920","n/e","1543","1543","n/e","3803","3803","n/e"
"01.01.2023 12:45 - 01.01.2023 13:00","944","944","n/e","1538","1538","n/e","3769","3769","n/e"
"01.01.2023 13:00 - 01.01.2023 13:15","967","967","n/e","1533","1533","n/e","3738","3738","n/e"
"01.01.2023 13:15 - 01.01.2023 13:30","952","952","n/e","1529","1529","n/e","3706","3706","n/e"
"01.01.2023 13:30 - 01.01.2023 13:45","935","935","n/e","1525","1525","n/e","3673","3673","n/e"
"01.01.2023 13:45 - 01.01.2023 14:00","918","918","n/e","1521","1521","n/e","3644","3644","n/e"
"01.01.2023 14:00 - 01.01.2023 14:15","904","904","n/e","1517","1517","n/e","3611","3611","n/e"
"01.01.2023 14:15 - 01.01.2023 14:30","860","860","n/e","1511","1511","n/e","3581","3581","n/e"
"01.01.2023 14:30 - 01.01.2023 14:45","821","821","n/e","1502","1502","n/e","3548","3548","n/e"
"01.01.2023 14:45 - 01.01.2023 15:00","781","781","n/e","1494","1494","n/e","3517","3517","n/e"
"01.01.2023 15:00 - 01.01.2023 15:15","740","740","n/e","1485","1485","n/e","3484","3484","n/e"
"01.01.2023 15:15 - 01.01.2023 15:30","668","668","n/e","1478","1478","n/e","3449","3449","n/e"
"01.01.2023 15:30 - 01.01.2023 15:45","599","599","n/e","1472","1472","n/e","3413","3413","n/e"
"01.01.2023 15:45 - 01.01.2023 16:00","528","528","n/e","1467","1467","n/e","3377","3377","n/e"
"01.01.2023 16:00 - 01.01.2023 16:15","456","456","n/e","1461","1461","n/e","3340","3340","n/e"
"01.01.2023 16:15 - 01.01.2023 16:30","354","354","n/e","1454","1454","n/e","3301","3301","n/e"
"01.01.2023 16:30 - 01.01.2023 16:45","250","250","n/e","1447","1447","n/e","3259","3259","n/e"
"01.01.2023 16:45 - 01.01.2023 17:00","150","150","n/e","1440","1440","n/e","3219","3219","n/e"
"01.01.2023 17:00 - 01.01.2023 17:15","48","48","n/e","1432","1432","n/e","3176","3176","n/e"
"01.01.2023 17:15 - 01.01.2023 17:30","36","36","n/e","1423","1423","n/e","3125","3125","n/e"
"01.01.2023 17:30 - 01.01.2023 17:45","24","24","n/e","1413","1413","n/e","3067","3067","n/e"
"01.01.2023 17:45 - 01.01.2023 18:00","10","10","n/e","1402","1402","n/e","3010","3010","n/e"
"01.01.2023 18:00 - 01.01.2023 18:15","0","0","n/e","1391","1391","n/e","2953","2953","n/e"
"01.01.2023 18:15 - 01.01.2023 18:30","0","0","n/e","1374","1374","n/e","2889","2889","n/e"
"01.01.2023 18:30 - 01.01.2023 18:45","0","0","n/e","1350","1350","n/e","2819","2819","n/e"
"01.01.2023 18:45 - 01.01.2023 19:00","0","0","n/e","1326","1326","n/e","2747","2747","n/e"
"01.01.2023 19:00 - 01.01.2023 19:15","0","0","n/e","1302","1302","n/e","2677","2677","n/e"
"01.01.2023 19:15 - 01.01.2023 19:30","0","0","n/e","1279","1279","n/e","2606","2606","n/e"
"01.01.2023 19:30 - 01.01.2023 19:45","0","0","n/e","1259","1259","n/e","2533","2533","n/e"
"01.01.2023 19:45 - 01.01.2023 20:00","0","0","n/e","1238","1238","n/e","2461","2461","n/e"
"01.01.2023 20:00 - 01.01.2023 20:15","0","0","n/e","1217","1217","n/e","2389","2389","n/e"
"01.01.2023 20:15 - 01.01.2023 20:30","0","0","n/e","1191","1191","n/e","2318","2318","n/e"
"01.01.2023 20:30 - 01.01.2023 20:45","0","0","n/e","1160","1160","n/e","2250","2250","n/e"
"01.01.2023 20:45 - 01.01.2023 21:00","0","0","n/e","1128","1128","n/e","2183","2183","n/e"
"01.01.2023 21:00 - 01.01.2023 21:15","0","0","n/e","1097","1097","n/e","2114","2114","n/e"
"01.01.2023 21:15 - 01.01.2023 21:30","0","0","n/e","1072","1072","n/e","2046","2046","n/e"
"01.01.2023 21:30 - 01.01.2023 21:45","0","0","n/e","1052","1052","n/e","1981","1981","n/e"
"01.01.2023 21:45 - 01.01.2023 22:00","0","0","n/e","1032","1032","n/e","1913","1913","n/e"
"01.01.2023 22:00 - 01.01.2023 22:15","0","0","n/e","1012","1012","n/e","1849","1849","n/e"
"01.01.2023 22:15 - 01.01.2023 22:30","0","0","n/e","983","983","n/e","1778","1778","n/e"
"01.01.2023 22:30 - 01.01.2023 22:45","0","0","n/e","946","946","n/e","1707","1707","n/e"
"01.01.2023 22:45 - 01.01.2023 23:00","0","0","n/e","908","908","n/e","1632","1632","n/e"
"01.01.2023 23:00 - 01.01.2023 23:15","0","0","n/e","870","870","n/e","1557","1557","n/e"
"01.01.2023 23:15 - 01.01.2023 23:30","0","0","n/e","830","830","n/e","1488","1488","n/e"
"01.01.2023 23:30 - 01.01.2023 23:45","0","0","n/e","788","788","n/e","1418","1418","n/e"
"01.01.2023 23:45 - 02.01.2023 00:00","0","0","n/e","746","746","n/e","1350","1350","n/e"
"02.01.2023 00:00 - 02.01.2023 00:15","0","0","n/e","318","318","n/e","733","733","n/e"
"02.01.2023 00:15 - 02.01.2023 00:30","0","0","n/e","318","318","n/e","743","743","n/e"
"02.01.2023 00:30 - 02.01.2023 00:45","0","0","n/e","312","312","n/e","772","772","n/e"
"02.01.2023 00:45 - 02.01.2023 01:00","0","0","n/e","306","306","n/e","801","801","n/e"
"02.01.2023 01:00 - 02.01.2023 01:15","0","0","n/e","300","300","n/e","827","827","n/e"
"02.01.2023 01:15 - 02.01.2023 01:30","0","0","n/e","306","306","n/e","885","885","n/e"
"02.01.2023 01:30 - 02.01.2023 01:45","0","0","n/e","323","323","n/e","972","972","n/e"
"02.01.2023 01:45 - 02.01.2023 02:00","0","0","n/e","340","340","n/e","1062","1062","n/e"
"02.01.2023 02:00 - 02.01.2023 02:15","0","0","n/e","357","357","n/e","1150","1150","n/e"
"02.01.2023 02:15 - 02.01.2023 02:30","0","0","n/e","381","381","n/e","1252","1252","n/e"
"02.01.2023 02:30 - 02.01.2023 02:45","0","0","n/e","413","413","n/e","1369","1369","n/e"
"02.01.2023 02:45 - 02.01.2023 03:00","0","0","n/e","445","445","n/e","1486","1486","n/e"
"02.01.2023 03:00 - 02.01.2023 03:15","0","0","n/e","476","476","n/e","1603","1603","n/e"
"02.01.2023 03:15 - 02.01.2023 03:30","0","0","n/e","511","511","n/e","1729","1729","n/e"
"02.01.2023 03:30 - 02.01.2023 03:45","0","0","n/e","548","548","n/e","1864","1864","n/e"
"02.01.2023 03:45 - 02.01.2023 04:00","0","0","n/e","584","584","n/e","1998","1998","n/e"
"02.01.2023 04:00 - 02.01.2023 04:15","0","0","n/e","621","621","n/e","2130","2130","n/e"
"02.01.2023 04:15 - 02.01.2023 04:30","0","0","n/e","623","623","n/e","2170","2170","n/e"
"02.01.2023 04:30 - 02.01.2023 04:45","0","0","n/e","591","591","n/e","2110","2110","n/e"
"02.01.2023 04:45 - 02.01.2023 05:00","0","0","n/e","559","559","n/e","2055","2055","n/e"
"02.01.2023 05:00 - 02.01.2023 05:15","0","0","n/e","526","526","n/e","1993","1993","n/e"
"02.01.2023 05:15 - 02.01.2023 05:30","0","0","n/e","496","496","n/e","1940","1940","n/e"
"02.01.2023 05:30 - 02.01.2023 05:45","0","0","n/e","469","469","n/e","1888","1888","n/e"
"02.01.2023 05:45 - 02.01.2023 06:00","0","0","n/e","442","442","n/e","1837","1837","n/e"
"02.01.2023 06:00 - 02.01.2023 06:15","0","0","n/e","415","415","n/e","1783","1783","n/e"
"02.01.2023 06:15 - 02.01.2023 06:30","0","0","n/e","392","392","n/e","1739","1739","n/e"
"02.01.2023 06:30 - 02.01.2023 06:45","0","0","n/e","373","373","n/e","1699","1699","n/e"
"02.01.2023 06:45 - 02.01.2023 07:00","0","0","n/e","354","354","n/e","1660","1660","n/e"
"02.01.2023 07:00 - 02.01.2023 07:15","0","0","n/e","335","335","n/e","1621","1621","n/e"
"02.01.2023 07:15 - 02.01.2023 07:30","0","0","n/e","332","332","n/e","1568","1568","n/e"
"02.01.2023 07:30 - 02.01.2023 07:45","0","0","n/e","345","345","n/e","1498","1498","n/e"
"02.01.2023 07:45 - 02.01.2023 08:00","0","0","n/e","358","358","n/e","1427","1427","n/e"
"02.01.2023 08:00 - 02.01.2023 08:15","0","0","n/e","371","371","n/e","1354","1354","n/e"
"02.01.2023 08:15 - 02.01.2023 08:30","0","0","n/e","383","383","n/e","1291","1291","n/e"
"02.01.2023 08:30 - 02.01.2023 08:45","0","0","n/e","395","395","n/e","1233","1233","n/e"
"02.01.2023 08:45 - 02.01.2023 09:00","0","0","n/e","407","407","n/e","1174","1174","n/e"
"02.01.2023 09:00 - 02.01.2023 09:15","0","0","n/e","419","419","n/e","1114","1114","n/e"
"02.01.2023 09:15 - 02.01.2023 09:30","30","30","n/e","428","428","n/e","1063","1063","n/e"
"02.01.2023 09:30 - 02.01.2023 09:45","58","58","n/e","435","435","n/e","1021","1021","n/e"
"02.01.2023 09:45 - 02.01.2023 10:00","86","86","n/e","441","441","n/e","978","978","n/e"
"02.01.2023 10:00 - 02.01.2023 10:15","116","116","n/e","448","448","n/e","936","936","n/e"
"02.01.2023 10:15 - 02.01.2023 10:30","193","193","n/e","456","456","n/e","907","907","n/e"
"02.01.2023 10:30 - 02.01.2023 10:45","271","271","n/e","466","466","n/e","901","901","n/e"
"02.01.2023 10:45 - 02.01.2023 11:00","347","347","n/e","476","476","n/e","890","890","n/e"
"02.01.2023 11:00 - 02.01.2023 11:15","425","425","n/e","486","486","n/e","879","879","n/e"
"02.01.2023 11:15 - 02.01.2023 11:30","464","464","n/e","496","496","n/e","875","875","n/e"
"02.01.2023 11:30 - 02.01.2023 11:45","502","502","n/e","506","506","n/e","876","876","n/e"
"02.01.2023 11:45 - 02.01.2023 12:00","539","539","n/e","515","515","n/e","880","880","n/e"
"02.01.2023 12:00 - 02.01.2023 12:15","577","577","n/e","525","525","n/e","880","880","n/e"
"02.01.2023 12:15 - 02.01.2023 12:30","594","594","n/e","534","534","n/e","882","882","n/e"
"02.01.2023 12:30 - 02.01.2023 12:45","611","611","n/e","543","543","n/e","889","889","n/e"
"02.01.2023 12:45 - 02.01.2023 13:00","628","628","n/e","552","552","n/e","895","895","n/e"
"02.01.2023 13:00 - 02.01.2023 13:15","645","645","n/e","562","562","n/e","901","901","n/e"
"02.01.2023 13:15 - 02.01.2023 13:30","605","605","n/e","573","573","n/e","925","925","n/e"
"02.01.2023 13:30 - 02.01.2023 13:45","561","561","n/e","586","586","n/e","959","959","n/e"
"02.01.2023 13:45 - 02.01.2023 14:00","521","521","n/e","599","599","n/e","996","996","n/e"
"02.01.2023 14:00 - 02.01.2023 14:15","480","480","n/e","612","612","n/e","1033","1033","n/e"
"02.01.2023 14:15 - 02.01.2023 14:30","454","454","n/e","621","621","n/e","1070","1070","n/e"
"02.01.2023 14:30 - 02.01.2023 14:45","432","432","n/e","625","625","n/e","1112","1112","n/e"
"02.01.2023 14:45 - 02.01.2023 15:00","408","408","n/e","629","629","n/e","1154","1154","n/e"
"02.01.2023 15:00 - 02.01.2023 15:15","384","384","n/e","633","633","n/e","1194","1194","n/e"
"02.01.2023 15:15 - 02.01.2023 15:30","345","345","n/e","641","641","n/e","1239","1239","n/e"
"02.01.2023 15:30 - 02.01.2023 15:45","304","304","n/e","654","654","n/e","1288","1288","n/e"
"02.01.2023 15:45 - 02.01.2023 16:00","264","264","n/e","667","667","n/e","1336","1336","n/e"
"02.01.2023 16:00 - 02.01.2023 16:15","226","226","n/e","679","679","n/e","1383","1383","n/e"
"02.01.2023 16:15 - 02.01.2023 16:30","183","183","n/e","682","682","n/e","1404","1404","n/e"
"02.01.2023 16:30 - 02.01.2023 16:45","141","141","n/e","674","674","n/e","1402","1402","n/e"
"02.01.2023 16:45 - 02.01.2023 17:00","98","98","n/e","666","666","n/e","1402","1402","n/e"
"02.01.2023 17:00 - 02.01.2023 17:15","53","53","n/e","658","658","n/e","1399","1399","n/e"
"02.01.2023 17:15 - 02.01.2023 17:30","41","41","n/e","649","649","n/e","1396","1396","n/e"
"02.01.2023 17:30 - 02.01.2023 17:45","27","27","n/e","639","639","n/e","1396","1396","n/e"
"02.01.2023 17:45 - 02.01.2023 18:00","13","13","n/e","629","629","n/e","1398","1398","n/e"
"02.01.2023 18:00 - 02.01.2023 18:15","0","0","n/e","619","619","n/e","1395","1395","n/e"
"02.01.2023 18:15 - 02.01.2023 18:30","0","0","n/e","608","608","n/e","1400","1400","n/e"
"02.01.2023 18:30 - 02.01.2023 18:45","0","0","n/e","596","596","n/e","1409","1409","n/e"
"02.01.2023 18:45 - 02.01.2023 19:00","0","0","n/e","585","585","n/e","1420","1420","n/e"
"02.01.2023 19:00 - 02.01.2023 19:15","0","0","n/e","573","573","n/e","1428","1428","n/e"
"02.01.2023 19:15 - 02.01.2023 19:30","0","0","n/e","564","564","n/e","1431","1431","n/e"
"02.01.2023 19:30 - 02.01.2023 19:45","0","0","n/e","556","556","n/e","1426","1426","n/e"
"02.01.2023 19:45 - 02.01.2023 20:00","0","0","n/e","549","549","n/e","1424","1424","n/e"
"02.01.2023 20:00 - 02.01.2023 20:15","0","0","n/e","541","541","n/e","1421","1421","n/e"
"02.01.2023 20:15 - 02.01.2023 20:30","0","0","n/e","535","535","n/e","1418","1418","n/e"
"02.01.2023 20:30 - 02.01.2023 20:45","0","0","n/e","530","530","n/e","1415","1415","n/e"
"02.01.2023 20:45 - 02.01.2023 21:00","0","0","n/e","525","525","n/e","1415","1415","n/e"
"02.01.2023 21:00 - 02.01.2023 21:15","0","0","n/e","520","520","n/e","1409","1409","n/e"
"02.01.2023 21:15 - 02.01.2023 21:30","0","0","n/e","515","515","n/e","1406","1406","n/e"
"02.01.2023 21:30 - 02.01.2023 21:45","0","0","n/e","512","512","n/e","1399","1399","n/e"
"02.01.2023 21:45 - 02.01.2023 22:00","0","0","n/e","509","509","n/e","1393","1393","n/e"
"02.01.2023 22:00 - 02.01.2023 22:15","0","0","n/e","506","506","n/e","1386","1386","n/e"
"02.01.2023 22:15 - 02.01.2023 22:30","0","0","n/e","504","504","n/e","1384","1384","n/e"
"02.01.2023 22:30 - 02.01.2023 22:45","0","0","n/e","504","504","n/e","1383","1383","n/e"
"02.01.2023 22:45 - 02.01.2023 23:00","0","0","n/e","503","503","n/e","1383","1383","n/e"
"02.01.2023 23:00 - 02.01.2023 23:15","0","0","n/e","503","503","n/e","1382","1382","n/e"
"02.01.2023 23:15 - 02.01.2023 23:30","0","0","n/e","505","505","n/e","1378","1378","n/e"
"02.01.2023 23:30 - 02.01.2023 23:45","0","0","n/e","509","509","n/e","1372","1372","n/e"
"02.01.2023 23:45 - 03.01.2023 00:00","0","0","n/e","513","513","n/e","1367","1367","n/e"
"03.01.2023 00:00 - 03.01.2023 00:15","0","0","n/e","460","460","n/e","1256","1256","n/e"
"03.01.2023 00:15 - 03.01.2023 00:30","0","0","n/e","446","446","n/e","1243","1243","n/e"
"03.01.2023 00:30 - 03.01.2023 00:45","0","0","n/e","427","427","n/e","1224","1224","n/e"
"03.01.2023 00:45 - 03.01.2023 01:00","0","0","n/e","408","408","n/e","1203","1203","n/e"
"03.01.2023 01:00 - 03.01.2023 01:15","0","0","n/e","389","389","n/e","1183","1183","n/e"
"03.01.2023 01:15 - 03.01.2023 01:30","0","0","n/e","378","378","n/e","1162","1162","n/e"
"03.01.2023 01:30 - 03.01.2023 01:45","0","0","n/e","374","374","n/e","1140","1140","n/e"
"03.01.2023 01:45 - 03.01.2023 02:00","0","0","n/e","370","370","n/e","1117","1117","n/e"
"03.01.2023 02:00 - 03.01.2023 02:15","0","0","n/e","366","366","n/e","1093","1093","n/e"
"03.01.2023 02:15 - 03.01.2023 02:30","0","0","n/e","363","363","n/e","1070","1070","n/e"
"03.01.2023 02:30 - 03.01.2023 02:45","0","0","n/e","362","362","n/e","1044","1044","n/e"
"03.01.2023 02:45 - 03.01.2023 03:00","0","0","n/e","360","360","n/e","1019","1019","n/e"
"03.01.2023 03:00 - 03.01.2023 03:15","0","0","n/e","359","359","n/e","994","994","n/e"
"03.01.2023 03:15 - 03.01.2023 03:30","0","0","n/e","359","359","n/e","966","966","n/e"
"03.01.2023 03:30 - 03.01.2023 03:45","0","0","n/e","360","360","n/e","939","939","n/e"
"03.01.2023 03:45 - 03.01.2023 04:00","0","0","n/e","361","361","n/e","914","914","n/e"
"03.01.2023 04:00 - 03.01.2023 04:15","0","0","n/e","362","362","n/e","888","888","n/e"
"03.01.2023 04:15 - 03.01.2023 04:30","0","0","n/e","378","378","n/e","892","892","n/e"
"03.01.2023 04:30 - 03.01.2023 04:45","0","0","n/e","410","410","n/e","931","931","n/e"
"03.01.2023 04:45 - 03.01.2023 05:00","0","0","n/e","442","442","n/e","969","969","n/e"
"03.01.2023 05:00 - 03.01.2023 05:15","0","0","n/e","474","474","n/e","1007","1007","n/e"
"03.01.2023 05:15 - 03.01.2023 05:30","0","0","n/e","511","511","n/e","1050","1050","n/e"
"03.01.2023 05:30 - 03.01.2023 05:45","0","0","n/e","552","552","n/e","1092","1092","n/e"
"03.01.2023 05:45 - 03.01.2023 06:00","0","0","n/e","594","594","n/e","1138","1138","n/e"
"03.01.2023 06:00 - 03.01.2023 06:15","0","0","n/e","635","635","n/e","1179","1179","n/e"
"03.01.2023 06:15 - 03.01.2023 06:30","0","0","n/e","675","675","n/e","1229","1229","n/e"
"03.01.2023 06:30 - 03.01.2023 06:45","0","0","n/e","713","713","n/e","1280","1280","n/e"
"03.01.2023 06:45 - 03.01.2023 07:00","0","0","n/e","751","751","n/e","1332","1332","n/e"
"03.01.2023 07:00 - 03.01.2023 07:15","0","0","n/e","789","789","n/e","1382","1382","n/e"
"03.01.2023 07:15 - 03.01.2023 07:30","0","0","n/e","820","820","n/e","1435","1435","n/e"
"03.01.2023 07:30 - 03.01.2023 07:45","0","0","n/e","845","845","n/e","1487","1487","n/e"
"03.01.2023 07:45 - 03.01.2023 08:00","0","0","n/e","870","870","n/e","1539","1539","n/e"
"03.01.2023 08:00 - 03.01.2023 08:15","0","0","n/e","894","894","n/e","1592","1592","n/e"
"03.01.2023 08:15 - 03.01.2023 08:30","0","0","n/e","919","919","n/e","1650","1650","n/e"
"03.01.2023 08:30 - 03.01.2023 08:45","0","0","n/e","944","944","n/e","1714","1714","n/e"
"03.01.2023 08:45 - 03.01.2023 09:00","1","1","n/e","968","968","n/e","1780","1780","n/e"
"03.01.2023 09:00 - 03.01.2023 09:15","1","1","n/e","993","993","n/e","1842","1842","n/e"
"03.01.2023 09:15 - 03.01.2023 09:30","70","70","n/e","1015","1015","n/e","1910","1910","n/e"
"03.01.2023 09:30 - 03.01.2023 09:45","138","138","n/e","1036","1036","n/e","1979","1979","n/e"
"03.01.2023 09:45 - 03.01.2023 10:00","208","208","n/e","1057","1057","n/e","2049","2049","n/e"
"03.01.2023 10:00 - 03.01.2023 10:15","273","273","n/e","1078","1078","n/e","2121","2121","n/e"
"03.01.2023 10:15 - 03.01.2023 10:30","355","355","n/e","1109","1109","n/e","2192","2192","n/e"
"03.01.2023 10:30 - 03.01.2023 10:45","435","435","n/e","1149","1149","n/e","2267","2267","n/e"
"03.01.2023 10:45 - 03.01.2023 11:00","516","516","n/e","1189","1189","n/e","2340","2340","n/e"
"03.01.2023 11:00 - 03.01.2023 11:15","599","599","n/e","1229","1229","n/e","2412","2412","n/e"
"03.01.2023 11:15 - 03.01.2023 11:30","647","647","n/e","1265","1265","n/e","2488","2488","n/e"
"03.01.2023 11:30 - 03.01.2023 11:45","693","693","n/e","1297","1297","n/e","2566","2566","n/e"
"03.01.2023 11:45 - 03.01.2023 12:00","744","744","n/e","1328","1328","n/e","2643","2643","n/e"
"03.01.2023 12:00 - 03.01.2023 12:15","794","794","n/e","1360","1360","n/e","2721","2721","n/e"
"03.01.2023 12:15 - 03.01.2023 12:30","815","815","n/e","1385","1385","n/e","2799","2799","n/e"
"03.01.2023 12:30 - 03.01.2023 12:45","837","837","n/e","1405","1405","n/e","2877","2877","n/e"
"03.01.2023 12:45 - 03.01.2023 13:00","858","858","n/e","1424","1424","n/e","2952","2952","n/e"
"03.01.2023 13:00 - 03.01.2023 13:15","880","880","n/e","1444","1444","n/e","3027","3027","n/e"
"03.01.2023 13:15 - 03.01.2023 13:30","800","800","n/e","1460","1460","n/e","3101","3101","n/e"
"03.01.2023 13:30 - 03.01.2023 13:45","723","723","n/e","1473","1473","n/e","3169","3169","n/e"
"03.01.2023 13:45 - 03.01.2023 14:00","644","644","n/e","1485","1485","n/e","3237","3237","n/e"
"03.01.2023 14:00 - 03.01.2023 14:15","566","566","n/e","1498","1498","n/e","3303","3303","n/e"
"03.01.2023 14:15 - 03.01.2023 14:30","538","538","n/e","1507","1507","n/e","3371","3371","n/e"
"03.01.2023 14:30 - 03.01.2023 14:45","512","512","n/e","1513","1513","n/e","3437","3437","n/e"
"03.01.2023 14:45 - 03.01.2023 15:00","486","486","n/e","1519","1519","n/e","3505","3505","n/e"
"03.01.2023 15:00 - 03.01.2023 15:15","457","457","n/e","1524","1524","n/e","3569","3569","n/e"
"03.01.2023 15:15 - 03.01.2023 15:30","415","415","n/e","1531","1531","n/e","3628","3628","n/e"
"03.01.2023 15:30 - 03.01.2023 15:45","372","372","n/e","1538","1538","n/e","3682","3682","n/e"
"03.01.2023 15:45 - 03.01.2023 16:00","328","328","n/e","1545","1545","n/e","3737","3737","n/e"
