HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-12-21 05:00:00,546.37146,633.2178,683.5079,702.68976,719.07733,734.5511,750.9658,768.67834,780.7024,798.6324,814.08325,825.9192,839.3111,850.05035,859.88513,872.89136,880.6663,886.0812,901.3493,909.912,920.69415,932.7063,941.8211,952.4317,958.4473,973.5033,982.2963,987.6785,1000.35657,1012.03235,1022.40643,1031.755,1043.7649,1060.5309,1072.8406,1084.8232,1100.454,1114.8805,1131.2628,1149.3921,1166.3864,1181.9827,1202.6455,1229.3778,1239.4121,1276.1769,1323.3181,1353.46,1414.3853,1587.9421
2022-12-21 06:00:00,508.97504,590.91046,643.93365,665.67615,684.02606,701.7505,719.82166,740.10077,755.81323,774.89923,791.1108,803.56494,817.56,828.60657,838.37744,852.8908,860.39954,866.7075,882.562,891.8686,902.1326,915.0766,925.0824,935.74854,943.32007,959.5149,968.4506,975.4141,989.09863,1002.5852,1015.1818,1025.5277,1039.6959,1059.0757,1072.0734,1086.9491,1105.1879,1121.6708,1140.2883,1160.5901,1181.357,1198.0858,1220.9575,1250.6431,1264.7684,1305.1711,1358.2938,1395.7222,1466.0684,1635.7859
2022-12-21 07:00:00,453.86084,524.9713,585.5734,612.6337,636.52844,659.4817,684.69714,710.45776,731.0178,754.3714,773.32983,790.901,807.6132,821.7514,834.5756,851.71234,861.33923,869.18604,887.46936,898.53455,908.5786,923.185,936.1455,947.2105,956.9888,976.198,988.1645,997.2236,1013.01434,1030.8862,1045.7909,1060.4543,1073.4249,1092.4229,1106.5466,1123.0381,1140.6672,1156.5505,1175.1199,1196.1967,1215.0963,1230.1722,1249.4646,1274.7229,1290.4458,1325.5748,1372.8438,1410.6985,1466.3899,1630.8076
2022-12-21 08:00:00,453.83542,519.3058,585.7716,615.15186,642.3946,667.9735,697.2129,726.38446,748.2849,773.8966,792.49396,812.8158,830.065,845.05554,859.64703,877.40594,888.2362,896.7608,915.93225,927.3373,937.0205,952.6085,967.317,978.1669,988.8528,1010.1497,1025.1227,1034.463,1051.2109,1072.6095,1087.9906,1106.5017,1117.8448,1134.9426,1150.1578,1166.4252,1183.4398,1198.941,1216.7743,1237.6766,1254.1644,1268.3235,1283.8905,1306.0557,1322.6375,1352.796,1397.5431,1441.2386,1485.7357,1650.1165
2022-12-21 09:00:00,471.19296,538.6513,621.5138,658.0297,690.99713,721.9479,752.861,785.8364,810.4795,837.8943,859.52124,882.0056,900.5149,917.0127,932.70996,951.40845,961.3677,970.6332,990.1789,1000.831,1009.62976,1025.0787,1039.379,1049.7091,1060.4679,1081.2128,1095.4054,1105.848,1121.716,1142.3346,1156.5791,1175.573,1186.0896,1202.0549,1216.6718,1232.3052,1247.5543,1259.901,1274.7952,1291.96,1305.9268,1315.8782,1329.6255,1348.6713,1362.0919,1390.4211,1433.0991,1474.4985,1522.4283,1674.5171
2022-12-21 10:00:00,551.6034,623.0963,704.2408,738.4713,771.07635,801.93134,831.3482,863.8419,887.42365,914.1145,936.20154,958.09247,975.78973,991.93994,1007.0934,1025.4229,1034.606,1043.6372,1062.761,1073.4254,1081.6594,1096.5723,1110.3751,1120.4578,1130.694,1149.9667,1163.4395,1173.441,1188.7817,1208.0302,1222.0616,1239.468,1249.935,1266.2802,1280.0552,1296.0487,1309.6437,1321.115,1335.0792,1351.5809,1365.1277,1374.409,1387.8701,1406.2216,1417.4027,1446.9265,1488.7672,1527.2284,1578.5327,1725.3665
2022-12-21 11:00:00,652.31165,728.6858,796.7228,823.377,852.57745,880.13086,906.1876,935.72534,956.14417,979.87646,1000.9977,1020.2156,1036.3523,1052.3264,1066.9747,1084.1292,1093.7167,1102.3665,1121.9912,1132.9628,1141.7466,1157.2916,1171.526,1182.9169,1192.727,1212.1522,1225.8724,1235.1732,1251.227,1270.866,1285.6936,1302.1005,1313.1099,1329.3092,1342.2269,1358.0021,1370.2975,1381.4347,1394.8993,1409.8126,1421.6431,1429.7454,1441.407,1457.6638,1465.8983,1494.9283,1532.4575,1568.8623,1617.5026,1751.4087
2022-12-21 12:00:00,614.8097,703.1751,784.96246,817.4947,856.0847,887.7487,920.40784,954.7977,976.9366,1004.4069,1030.8665,1055.0403,1076.1709,1098.1836,1117.1997,1137.2181,1151.1232,1163.6769,1188.2003,1200.1456,1213.0292,1231.3751,1248.5182,1262.4197,1273.3091,1296.3895,1313.6992,1322.9882,1341.9508,1364.5315,1381.0933,1399.549,1411.1501,1426.6859,1441.602,1456.6064,1469.5553,1480.1676,1495.4381,1512.3202,1521.2942,1531.4769,1540.3596,1555.2043,1561.5773,1587.9255,1623.0181,1653.0298,1690.5364,1831.999
2022-12-21 13:00:00,602.6033,693.28687,793.65204,831.8115,880.306,918.2276,957.6008,997.8318,1024.352,1055.1455,1085.3467,1115.2637,1139.7448,1165.6974,1188.1232,1212.0037,1227.8759,1243.109,1270.8524,1283.6042,1298.5825,1318.8007,1338.1017,1353.7035,1366.42,1392.4442,1412.4478,1422.5046,1443.1995,1469.8398,1487.7828,1509.702,1521.9722,1538.2412,1555.1481,1571.7224,1584.7959,1595.6661,1613.6301,1632.4326,1641.4164,1653.7821,1661.3121,1675.0425,1682.0319,1708.4718,1747.4607,1777.9739,1818.727,1975.7427
2022-12-21 14:00:00,653.9436,742.27124,858.71216,902.66437,960.9676,1003.83185,1050.8295,1093.3641,1124.7601,1160.4717,1193.1951,1226.2842,1254.5288,1282.8478,1307.559,1334.858,1352.2853,1369.0602,1399.5184,1414.1285,1429.6799,1451.2892,1472.1652,1488.2572,1501.364,1528.1019,1549.9147,1560.2006,1582.4912,1610.5613,1628.6616,1652.5338,1665.0272,1680.3013,1697.6625,1715.3177,1727.783,1735.2043,1752.4839,1772.9375,1781.7972,1792.7849,1797.9958,1807.8413,1815.935,1841.1312,1879.6909,1909.0854,1949.9355,2114.411
