HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2022-12-20 23:00:00,382.74774,0.0,428.6298,435.79813,447.9917,458.08716,465.12015,472.12524,479.50775,487.63034,492.64713,499.30353,504.7566,515.15436,0.0,536.1495,539.90283,0.0,563.6699,571.65735
2022-12-21 00:00:00,387.09454,0.0,434.16522,440.79147,452.50317,462.64575,469.468,477.13516,483.64078,491.8538,496.33405,502.90314,507.81238,518.2202,0.0,539.18274,543.077,0.0,567.88324,574.80725
2022-12-21 01:00:00,291.35355,0.0,347.87976,357.6825,371.8407,383.37433,390.15567,400.53226,407.43323,414.45718,420.4303,426.8995,432.55762,443.46518,0.0,465.2495,468.54736,0.0,502.86188,510.9277
2022-12-21 02:00:00,266.66513,0.0,316.14526,326.77927,341.28754,353.617,362.80756,374.0764,380.24777,390.27078,395.41962,401.35254,408.3554,419.52878,0.0,443.08884,448.51614,0.0,484.04547,496.1053
2022-12-21 03:00:00,244.42914,0.0,292.08246,302.18356,316.1139,327.82724,336.748,347.9246,353.72946,363.70102,368.43503,374.13525,380.7906,391.37585,0.0,414.29095,419.5232,0.0,455.198,467.88815
2022-12-21 04:00:00,217.74438,0.0,263.2826,272.67032,285.5748,296.1255,304.67853,314.95435,320.0247,329.80136,333.96896,339.44604,345.5627,355.3136,0.0,377.3755,382.4477,0.0,417.1396,430.59344
2022-12-21 05:00:00,196.5426,0.0,238.32108,246.97516,258.35672,267.9915,275.56744,284.96826,289.66605,298.6829,302.36917,307.36005,313.07266,321.674,0.0,342.62613,347.07422,0.0,379.80432,393.2711
2022-12-21 06:00:00,179.61005,0.0,217.45306,225.52078,235.97934,245.33383,252.034,261.86752,267.24722,275.04553,278.9959,283.50644,289.3864,297.61682,0.0,317.5335,321.7823,0.0,353.20245,367.13754
2022-12-21 07:00:00,164.33167,0.0,199.67279,207.32942,217.65182,227.03368,233.69391,244.28503,250.54106,257.99344,262.1756,266.7473,272.93533,281.49414,0.0,301.76468,306.71448,0.0,339.3478,355.91248
2022-12-21 08:00:00,155.84189,0.0,189.71858,197.37509,207.18964,216.82362,223.5495,234.31822,240.59941,248.44063,252.53218,257.19647,263.30658,271.7259,0.0,292.72217,298.1543,0.0,332.4342,351.0981
2022-12-21 09:00:00,146.774,0.0,178.10954,186.02678,194.83958,204.89343,211.88885,222.60065,228.34087,236.91434,241.02374,245.53119,251.50954,259.785,0.0,280.92133,287.06738,0.0,321.7589,341.80783
2022-12-21 10:00:00,135.20341,0.0,164.1102,172.5611,180.40594,191.10808,198.3596,208.5654,213.56905,223.09721,227.30103,231.43983,237.3387,245.72893,0.0,267.4019,274.25003,0.0,310.5745,332.01202
2022-12-21 11:00:00,121.50964,0.0,151.09534,160.04324,167.47122,178.75784,185.99791,195.45029,199.89192,210.09465,214.63737,218.6786,224.36856,233.47957,0.0,256.97736,264.652,0.0,306.23093,329.89697
2022-12-21 12:00:00,108.388115,0.0,140.59946,149.92648,157.39606,169.26205,176.27507,185.27647,189.43124,200.1977,205.57048,209.9,215.57622,226.41821,0.0,252.85704,261.8306,0.0,311.70245,338.52457
2022-12-21 13:00:00,102.6263,0.0,140.09448,150.2996,158.19058,170.93088,177.51572,186.36212,190.29083,201.6616,208.49197,213.19972,219.10947,232.36266,0.0,263.12863,273.49466,0.0,334.6984,365.38046
2022-12-21 14:00:00,113.33941,0.0,158.33961,169.32846,178.09038,190.49603,196.48837,205.2218,209.25406,219.99632,228.14737,233.60472,239.64703,254.46469,0.0,289.05276,300.27982,0.0,369.26172,403.62085
2022-12-21 15:00:00,136.633,0.0,188.69109,199.75107,210.716,223.19568,230.29147,239.49791,245.15077,256.8363,265.03268,272.94336,279.3384,295.6612,0.0,332.008,343.7394,0.0,413.3003,450.5158
2022-12-21 16:00:00,168.39091,0.0,227.55489,240.27751,254.36533,269.64954,279.3153,290.2315,298.27762,312.86276,320.8696,331.0402,338.86285,357.01306,0.0,394.45734,405.78836,0.0,472.2146,509.9623
2022-12-21 17:00:00,205.12932,0.0,276.9474,292.16653,310.8923,329.47302,341.66437,354.9585,365.74915,381.46918,389.56534,400.82718,410.56754,429.42932,0.0,466.35052,475.46637,0.0,534.9399,567.92535
2022-12-21 18:00:00,250.18118,0.0,332.19348,349.52106,371.25565,390.93832,404.34073,417.74594,429.43582,444.3547,452.49365,463.58362,474.1374,491.52295,0.0,525.343,531.05176,0.0,579.37634,603.5822
2022-12-21 19:00:00,293.585,0.0,380.4328,398.1276,420.7346,440.30505,454.6025,467.78812,478.9558,493.49698,501.67712,512.5212,522.9286,539.15186,0.0,570.5786,574.84406,0.0,614.5889,631.9002
2022-12-21 20:00:00,325.53046,0.0,413.75024,431.1223,453.5169,473.11887,488.20316,501.967,512.39374,526.94684,535.4922,546.2897,556.44965,572.7077,0.0,603.14075,608.0075,0.0,642.93744,656.27057
2022-12-21 21:00:00,343.10904,0.0,431.5512,449.1174,470.87537,490.63013,506.1408,520.6719,530.34534,544.7254,553.6904,564.4424,574.35443,590.5173,0.0,620.50574,626.3268,0.0,659.1121,670.4674
2022-12-21 22:00:00,353.9841,0.0,438.43732,455.87885,476.4256,495.6356,510.796,524.94855,533.87494,547.57635,556.4593,566.6375,575.77795,591.0453,0.0,619.7037,625.7439,0.0,657.1023,667.25946
2022-12-21 23:00:00,358.1765,0.0,437.0674,453.7761,473.20306,491.78613,506.36737,519.94965,528.6168,541.62646,550.0477,559.6704,567.91364,582.66565,0.0,609.594,615.5929,0.0,645.7261,655.5013
2022-12-22 00:00:00,352.85043,0.0,427.42578,443.65256,462.58255,480.90256,495.14395,508.39258,517.19885,529.5952,537.74554,546.9268,554.6117,569.14954,0.0,594.3952,600.4902,0.0,629.8537,639.54614
2022-12-22 01:00:00,232.23428,0.0,306.7388,321.13632,341.0353,356.50217,367.12393,382.4289,391.72885,399.18646,409.37128,416.8263,424.60483,439.65598,0.0,461.67175,467.7866,0.0,506.19107,516.0603
2022-12-22 02:00:00,191.22113,0.0,249.62555,263.19077,279.9858,295.2422,306.2018,320.5216,328.32928,338.43307,346.7417,353.1101,362.02133,376.50064,0.0,401.2231,409.055,0.0,447.64795,462.09952
2022-12-22 03:00:00,173.83174,0.0,222.45445,231.18585,245.21605,256.54977,264.4238,276.37637,283.1134,291.58252,296.9037,302.66965,309.46207,321.47485,0.0,343.7076,349.94464,0.0,388.40387,403.16113
2022-12-22 04:00:00,162.05179,0.0,204.04282,211.08333,222.71892,231.92278,238.68729,248.61868,254.11215,262.6347,265.95663,271.46936,276.93207,286.45795,0.0,307.88678,312.76654,0.0,349.2407,364.9371
2022-12-22 05:00:00,151.51602,0.0,189.34616,195.73727,205.32419,213.53506,219.24864,227.72539,232.91415,240.70164,243.53235,249.016,253.58209,261.8834,0.0,282.38657,286.6995,0.0,320.9897,337.68637
2022-12-22 06:00:00,135.51337,0.0,170.07756,176.23018,184.22415,191.82211,196.41959,203.91055,209.29442,215.66632,218.496,223.7537,227.71481,235.12451,0.0,254.3195,258.03934,0.0,289.62918,306.62692
2022-12-22 07:00:00,119.86211,0.0,151.75012,158.34212,165.66612,173.37445,177.61533,185.00626,190.9058,196.34477,199.52502,204.49632,208.59479,215.65106,0.0,233.98782,237.60413,0.0,267.0163,284.32352
2022-12-22 08:00:00,104.5081,0.0,135.88947,143.52667,151.27501,160.32668,165.15158,173.77795,180.6514,186.46469,190.41049,195.72247,200.67877,208.58463,0.0,227.96391,232.74457,0.0,264.52176,284.44733
2022-12-22 09:00:00,85.91861,0.0,119.881584,129.06818,137.28093,148.9381,154.21274,164.67741,172.8512,179.90709,184.70123,191.34825,196.91861,206.47359,0.0,229.19165,235.95038,0.0,276.6007,303.05545
2022-12-22 10:00:00,65.73316,0.0,103.73379,115.1028,123.61171,138.70343,144.16817,156.49884,166.14044,174.3293,179.92468,188.03293,193.82913,205.21559,0.0,231.71555,240.74397,0.0,292.16385,327.39056
2022-12-22 11:00:00,47.786842,0.0,88.357025,101.70251,110.66635,127.956535,133.39445,146.65578,157.28297,165.36905,171.21078,179.45786,185.19461,197.04796,0.0,224.83575,234.56903,0.0,290.5736,330.98224
2022-12-22 12:00:00,28.964052,0.0,67.47021,81.423706,90.69829,108.24266,113.27047,126.10566,137.38396,144.77155,150.12628,157.90242,163.38193,175.05592,0.0,201.60966,210.53528,0.0,265.10123,306.72174
2022-12-22 13:00:00,5.975964,0.0,39.17546,52.85081,61.410656,79.12105,83.95229,95.87739,107.32415,115.244026,119.82386,127.79063,132.73126,144.90593,0.0,170.24701,179.04572,0.0,232.27747,274.99014
2022-12-22 14:00:00,0.0,0.0,14.551283,25.971655,33.17955,48.699368,53.455544,63.124573,73.47594,81.97226,86.06148,94.49559,98.919914,110.99877,0.0,135.22499,144.20801,0.0,195.02307,234.7475
2022-12-22 15:00:00,0.0,0.0,4.5277114,12.21721,18.280237,28.861055,33.432182,39.940285,48.162228,55.911903,59.642757,67.50977,71.57219,81.8317,0.0,103.63161,111.55171,0.0,155.04404,185.78468
2022-12-22 16:00:00,0.0,0.0,1.2153091,6.007704,10.601245,17.575285,21.451576,26.183104,32.793358,38.342285,42.261444,48.68683,52.060493,60.977665,0.0,79.96992,87.75071,0.0,124.867,149.31346
2022-12-22 17:00:00,0.0,0.0,0.82846063,3.1741738,6.306229,10.25714,13.266443,16.144655,20.936354,24.220797,27.327055,31.591581,33.734344,40.795185,0.0,55.19226,62.137024,0.0,90.425514,109.144516
2022-12-22 18:00:00,0.0,0.0,1.3494855,2.4410355,4.9665565,6.6896486,9.135179,9.9915285,12.919742,15.332549,16.26313,18.462734,19.464602,23.826576,0.0,33.478626,37.6733,0.0,55.995865,69.266396
2022-12-22 19:00:00,0.0,0.0,0.6927871,1.78578,4.0314875,5.0268273,6.817821,7.0697856,9.050582,10.664945,10.592779,11.493355,11.963393,14.755216,0.0,21.399395,23.44535,0.0,35.880756,45.57792
2022-12-22 20:00:00,0.0,0.0,0.08061797,1.3179961,3.3328812,4.28083,5.625427,5.9065957,7.661432,8.711068,8.643203,9.092389,9.395891,11.905299,0.0,17.638779,19.144087,0.0,30.29572,39.015644
2022-12-22 21:00:00,0.0,0.0,0.47025782,1.7884418,3.6033475,4.675744,5.865107,6.3518147,8.029174,9.083609,9.123354,9.497887,9.902057,12.652543,0.0,18.619326,20.47524,0.0,32.234993,41.683994
2022-12-22 22:00:00,0.0,0.0,1.4959766,2.8098352,4.572429,5.8936777,7.225132,7.995614,9.880026,11.353724,11.737,12.533703,13.29689,16.750385,0.0,24.072313,26.990578,0.0,41.20404,52.518982
2022-12-22 23:00:00,0.0,0.0,3.355658,4.841247,6.789459,8.942383,10.587943,12.147498,14.862168,16.806404,18.278296,20.038889,21.41313,26.38566,0.0,35.890873,40.458076,0.0,58.81227,72.29853
2022-12-23 00:00:00,0.0,0.0,7.8876047,10.162647,12.685317,16.21051,18.225182,20.953135,24.452488,26.844107,28.825556,30.854616,32.781975,38.726032,0.0,48.377274,53.14165,0.0,71.06797,84.344025
2022-12-23 01:00:00,42.814144,0.0,69.25324,75.12903,86.713264,94.295425,99.50899,105.405045,110.06879,117.27988,118.93481,121.27581,127.02829,136.55022,0.0,152.23152,156.63293,0.0,189.02655,204.19478
2022-12-23 02:00:00,64.4454,0.0,92.11087,97.14642,105.798454,114.50384,120.45433,127.5153,132.04614,138.43399,139.86726,143.41316,146.86159,156.31981,0.0,170.71242,177.32797,0.0,204.49599,219.72093
2022-12-23 03:00:00,72.74029,0.0,98.965775,104.90027,112.43073,120.78334,125.2036,130.66373,134.79039,140.5631,141.19339,144.12004,147.47874,154.44537,0.0,168.9277,172.44829,0.0,197.8806,210.70186
2022-12-23 04:00:00,72.40463,0.0,98.6428,104.970955,112.140335,120.64161,124.606285,129.81027,134.14369,139.35977,140.44008,143.25308,146.73549,153.54909,0.0,167.7632,171.01338,0.0,195.84842,208.17603
2022-12-23 05:00:00,64.39372,0.0,91.92872,98.441635,105.94417,114.90738,119.14302,125.11847,130.2501,135.00381,137.41638,140.60107,144.52872,152.68898,0.0,167.43213,172.191,0.0,199.0363,212.6965
2022-12-23 06:00:00,51.18434,0.0,83.35209,90.88351,99.3117,109.28856,114.197205,121.18923,127.28678,132.27364,136.38588,140.49646,145.13948,155.02223,0.0,172.60172,179.2788,0.0,212.70926,229.97815
2022-12-23 07:00:00,39.312504,0.0,76.52231,85.607086,94.99763,106.11522,111.47869,119.326546,126.38448,131.6708,137.21999,142.31749,147.64691,158.90904,0.0,179.92935,187.82846,0.0,228.3544,249.6644
2022-12-23 08:00:00,33.187817,0.0,72.94167,83.112785,93.110275,105.05966,110.74305,119.32268,127.39437,132.67659,138.95808,144.84113,150.54619,162.62315,0.0,185.47597,193.69221,0.0,236.30135,259.67453
2022-12-23 09:00:00,29.662533,0.0,69.23325,79.547325,89.71979,102.12136,108.26835,117.615036,126.35335,131.76993,137.97504,144.25024,149.99834,162.16971,0.0,184.23662,192.14024,0.0,231.13495,253.69406
2022-12-23 10:00:00,26.629663,0.0,63.090374,72.60412,82.36549,94.15198,100.358665,110.01202,118.65437,123.4518,129.18642,134.8956,140.24918,151.54979,0.0,170.03644,177.28653,0.0,208.92604,228.49593
2022-12-23 11:00:00,27.533619,0.0,58.72534,66.56852,75.22195,84.83433,90.1516,98.65629,106.56957,109.7404,114.64868,119.26195,123.67673,133.20743,0.0,147.4562,153.58186,0.0,177.54575,193.8643
2022-12-23 12:00:00,30.114714,0.0,55.144253,60.95646,67.8044,74.65115,78.63848,84.86207,91.45484,93.454704,96.95377,100.749695,103.930695,111.060646,0.0,122.01886,126.65185,0.0,144.56372,158.306
2022-12-23 13:00:00,32.295734,0.0,52.347935,56.89843,62.317505,67.400055,70.6072,75.140755,80.4729,82.28252,84.442314,87.68094,89.987625,95.123116,0.0,104.192314,107.5635,0.0,121.5971,133.59332
2022-12-23 14:00:00,30.147472,0.0,47.364063,51.530396,56.326473,60.811924,64.58292,69.00649,74.08788,75.682274,77.836426,81.02619,82.8875,88.04509,0.0,96.08727,100.03379,0.0,110.60559,122.23378
2022-12-23 15:00:00,31.711914,0.0,47.716526,51.808212,56.66341,61.0823,65.26374,69.86423,74.09608,76.63376,78.12195,80.80877,82.77735,87.362755,0.0,95.37872,99.15956,0.0,110.14464,121.37609
2022-12-23 16:00:00,35.919933,0.0,52.838524,56.73323,62.354187,67.46686,71.13195,76.008026,80.60448,82.97167,84.21551,86.51628,88.936325,94.00851,0.0,102.31409,105.71844,0.0,119.242615,129.51169
2022-12-23 17:00:00,41.32102,0.0,61.055367,64.75748,71.23201,76.5719,79.89895,84.76352,90.182365,91.95962,93.39079,96.02349,98.56478,104.26865,0.0,113.237015,116.58891,0.0,132.28137,142.70041
2022-12-23 18:00:00,48.23879,0.0,71.94852,75.73855,83.06915,88.310715,91.9501,96.623024,102.301025,104.41128,105.591324,108.86429,111.25168,116.96169,0.0,127.51994,130.80267,0.0,149.08647,160.9098
2022-12-23 19:00:00,56.886127,0.0,84.63482,88.97148,96.22323,101.88076,106.59661,111.15615,115.730606,119.713104,120.56866,124.37217,126.43896,132.24547,0.0,144.91383,149.26875,0.0,170.70659,185.20982
2022-12-23 20:00:00,61.91701,0.0,95.29326,99.66663,106.67436,114.00209,119.4232,125.22562,130.38264,134.91254,137.15152,142.31407,144.2421,152.97585,0.0,167.35303,175.47433,0.0,200.96559,220.78891
2022-12-23 21:00:00,65.479,0.0,103.76118,107.08753,114.52403,123.60825,129.61984,138.21227,146.08334,149.18869,154.00917,161.49107,163.4154,176.54137,0.0,190.23601,203.13875,0.0,228.7988,252.43439
2022-12-23 22:00:00,64.497505,0.0,102.92484,107.02093,114.655426,125.395996,132.61383,143.13521,151.76125,155.77916,162.03287,170.18742,173.11942,188.3571,0.0,202.51518,217.57477,0.0,242.37277,267.05432
2022-12-23 23:00:00,61.8018,0.0,99.88284,106.21115,114.39952,126.43171,134.54944,146.22777,155.22887,161.07243,168.45848,176.92972,181.6896,197.44756,0.0,214.22893,228.58202,0.0,253.85951,277.741
2022-12-24 00:00:00,64.49754,0.0,101.52018,108.67089,117.32352,129.42241,137.41154,149.2673,158.44693,165.265,172.60736,181.00575,186.91269,202.02032,0.0,220.99693,233.27357,0.0,259.87552,281.61536
2022-12-24 01:00:00,51.13381,0.0,86.44769,93.519135,101.58434,111.36827,117.36042,125.12339,132.48656,138.42963,143.72934,150.52667,156.17514,167.18214,0.0,184.83243,193.02159,0.0,221.63373,239.52126
2022-12-24 02:00:00,64.703285,0.0,103.39785,111.63832,120.53787,130.06978,135.70041,142.37009,150.25645,155.33429,161.45213,168.27136,173.85684,184.92487,0.0,205.20222,213.26253,0.0,247.75865,269.04822
2022-12-24 03:00:00,56.620853,0.0,99.777306,110.51248,121.01594,132.52782,139.80373,147.68292,156.7622,163.5251,171.32977,179.46306,186.90437,199.97643,0.0,223.49759,232.63736,0.0,269.05127,291.779
2022-12-24 04:00:00,53.189293,0.0,96.5594,106.87751,117.22524,128.67484,135.39105,143.19403,152.41327,158.92493,166.81194,174.97151,182.53075,196.04343,0.0,220.27603,229.20981,0.0,266.19897,288.26132
2022-12-24 05:00:00,58.43743,0.0,99.473236,109.22427,118.40525,129.06952,134.77946,141.75745,150.0228,155.5501,162.593,169.71873,176.2165,188.29515,0.0,210.7145,218.71445,0.0,253.77043,274.77496
2022-12-24 06:00:00,62.688625,0.0,101.78138,111.42295,119.7319,130.13968,135.23239,141.94882,149.44994,154.34378,160.82265,167.01906,172.80309,183.6485,0.0,204.18169,211.35439,0.0,244.00874,263.56528
2022-12-24 07:00:00,74.360535,0.0,113.17622,122.945145,131.02902,141.52924,146.55159,153.43657,160.76303,165.48941,171.8789,177.8479,183.45825,193.99538,0.0,214.38719,221.4059,0.0,253.45103,272.67487
2022-12-24 08:00:00,101.68145,0.0,141.06444,150.213,158.45537,168.41649,173.57271,180.30382,187.68173,192.2996,198.30348,204.60535,209.84828,220.44751,0.0,241.98012,249.26738,0.0,282.2371,302.46997
