HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2022-12-21 05:00:00,71.798615,86.293144,0.0,0.0,119.17397,127.94221,134.691,141.02606,146.43478,150.62825,155.4244,162.2838,169.11568,177.4693,182.67122,192.82857,202.30058,210.2694,234.30344,263.97583
2022-12-21 06:00:00,73.64763,87.4374,0.0,0.0,118.36016,126.47952,132.53568,138.25461,143.45316,147.25197,151.698,158.16702,164.25983,172.42894,176.93544,186.53416,195.34608,202.96304,225.28659,252.70059
2022-12-21 07:00:00,74.62695,87.05784,0.0,0.0,115.64814,122.71855,128.17639,133.41356,138.19177,141.53159,145.74875,152.00879,157.49922,165.31848,169.71033,178.945,187.46712,194.72787,216.13933,242.57643
2022-12-21 08:00:00,70.454834,81.88715,0.0,0.0,109.95386,116.49293,121.852196,127.0555,131.59216,134.68983,138.85254,144.97412,150.12906,157.70485,162.14963,170.97517,179.2195,185.97688,206.71718,232.27397
2022-12-21 09:00:00,73.68513,84.02288,0.0,0.0,110.992455,116.865906,121.96733,126.85944,131.1167,133.9151,137.75565,143.46094,148.1919,155.3706,159.61423,167.53854,175.25931,181.08862,200.3374,224.10736
2022-12-21 10:00:00,79.9083,89.76088,0.0,0.0,115.60947,121.20675,126.008286,130.37007,134.67345,137.37285,140.80325,146.09306,150.54256,157.6896,161.6302,168.93721,176.45634,181.82295,200.16971,222.77193
2022-12-21 11:00:00,80.740486,91.0315,0.0,0.0,117.32898,123.3248,128.22762,132.74638,137.14044,140.06306,143.44862,148.74667,153.47946,160.61076,164.60448,171.93866,179.49573,185.11766,203.59903,226.16922
2022-12-21 12:00:00,85.03515,95.548904,0.0,0.0,120.395805,126.487076,130.87126,135.28204,139.34605,142.43942,145.27165,150.24489,155.16895,161.5453,165.415,172.18793,179.26016,185.27092,202.27795,222.88004
2022-12-21 13:00:00,91.241974,101.78254,0.0,0.0,124.87189,130.78763,134.65091,138.80034,142.5108,145.6528,148.05212,152.81242,157.7631,163.6074,167.42172,173.88385,180.73445,187.0452,203.05287,222.5701
2022-12-21 14:00:00,98.300575,109.33804,0.0,0.0,132.5306,138.7525,142.55069,146.64163,150.50279,153.84349,156.10703,160.92451,166.051,172.10924,175.9721,182.52637,189.57974,196.17471,212.24454,231.6934
2022-12-21 15:00:00,106.13569,118.47271,0.0,0.0,144.29265,151.78555,156.10472,160.51463,165.44507,169.51189,172.12581,177.63405,183.47768,191.21835,195.61446,203.6171,212.04404,219.99214,238.95251,260.80475
2022-12-21 16:00:00,124.50095,138.91359,0.0,0.0,166.95526,175.97404,180.97058,185.82161,192.19728,197.54596,200.84856,207.82251,214.97882,225.45032,231.18639,242.05116,253.15958,263.81586,288.19604,315.11533
2022-12-21 17:00:00,164.8242,181.88617,0.0,0.0,211.7251,221.65126,227.05655,232.39311,239.0521,245.37926,248.75827,256.73965,264.8431,276.29953,282.7508,294.17688,306.16446,316.94604,341.49536,368.89267
2022-12-21 18:00:00,216.86966,238.03746,0.0,0.0,271.8355,283.26895,289.06198,294.8092,301.698,308.88608,311.84,320.42664,329.50742,341.23172,347.50504,358.433,370.30087,380.07886,401.99982,427.28854
2022-12-21 19:00:00,262.44632,286.80237,0.0,0.0,328.79102,341.23703,348.43115,355.30676,362.7022,370.18353,373.71307,383.38223,393.21222,405.90326,412.45938,423.10443,434.94302,442.29752,462.95273,488.31107
2022-12-21 20:00:00,295.72348,322.52173,0.0,0.0,372.379,384.99176,393.15656,401.23746,408.46765,415.61676,419.829,430.4135,440.6707,453.3942,460.12195,470.4681,481.629,486.74783,505.77264,531.4427
2022-12-21 21:00:00,324.2962,353.7727,0.0,0.0,408.9076,422.01562,430.61978,438.54974,446.34903,453.10266,457.737,468.88043,478.9558,492.65103,498.36966,509.27313,520.441,524.1772,542.7215,569.1368
2022-12-21 22:00:00,354.67072,384.9715,0.0,0.0,439.83237,452.60596,460.72076,467.1681,475.32883,481.44598,485.77606,496.5675,506.1346,520.4689,524.83075,536.01276,547.4817,550.36896,568.70685,594.95526
2022-12-21 23:00:00,369.3193,398.37402,0.0,0.0,448.82645,460.2752,467.42615,473.1734,480.4287,485.99957,489.9599,500.2182,509.43652,522.6812,526.6931,537.2613,548.2367,550.8972,568.41473,593.982
2022-12-22 00:00:00,304.40497,328.27603,0.0,0.0,370.2797,380.13855,386.42422,392.2892,398.9139,404.53683,408.09134,417.4199,426.10608,437.84372,442.89847,452.47937,462.75977,467.24893,484.71622,509.011
2022-12-22 01:00:00,274.32074,297.44348,0.0,0.0,337.45944,347.5741,354.05573,360.15845,366.71252,372.74948,376.769,386.34943,394.94592,407.1308,412.7001,423.4099,434.48752,440.44717,460.47614,487.02423
2022-12-22 02:00:00,241.82187,264.16922,0.0,0.0,301.05472,311.29803,317.66266,323.6477,330.2178,336.491,341.09973,351.05322,359.15088,372.00983,377.62167,390.04626,402.11197,409.86838,433.08273,462.8912
2022-12-22 03:00:00,214.50551,235.44333,0.0,0.0,268.78256,278.3554,284.09894,289.90076,295.75015,301.74292,306.27426,315.8079,323.42203,335.25153,340.7061,353.15216,364.83093,373.4319,396.7255,426.60986
2022-12-22 04:00:00,188.37758,208.09447,0.0,0.0,240.10603,248.9399,254.56378,260.35825,265.67642,271.1514,275.96124,285.17386,292.19788,303.2545,308.33765,320.77368,331.93286,340.38913,363.6513,393.80505
2022-12-22 05:00:00,170.6605,189.70871,0.0,0.0,221.16972,229.54524,235.17639,240.59955,245.70847,250.63669,255.6122,264.38535,270.76053,281.45972,285.8109,298.1765,308.95752,316.83875,339.88577,370.06207
2022-12-22 06:00:00,158.77277,177.0518,0.0,0.0,207.83018,216.0255,221.59412,227.01845,231.89374,236.70406,241.54028,249.97687,256.25043,266.4365,270.76596,282.7949,293.29718,301.09586,323.7123,353.18304
2022-12-22 07:00:00,148.41495,165.85814,0.0,0.0,197.2998,205.27507,211.16928,216.92377,221.76884,226.52867,231.6606,240.2395,246.56741,256.83923,261.67267,273.9548,284.7173,292.48798,316.05966,346.53955
2022-12-22 08:00:00,138.11449,154.8535,0.0,0.0,186.85208,194.61559,200.8012,207.05363,211.71173,216.55852,221.94542,230.67699,237.27934,247.39375,252.95709,265.43887,276.42554,284.39233,308.7645,339.9989
2022-12-22 09:00:00,130.53879,146.76245,0.0,0.0,178.2724,185.7462,191.78304,198.10689,202.41222,207.19159,212.46255,220.95099,227.56256,237.14516,242.91624,255.09607,265.8342,273.92883,297.87347,328.54315
2022-12-22 10:00:00,123.77481,139.73904,0.0,0.0,171.06633,178.39252,184.30222,190.69618,194.76039,199.48567,204.74121,213.07516,219.63408,228.93748,234.86063,246.88887,257.4571,265.79425,289.659,320.27853
2022-12-22 11:00:00,118.5782,134.65866,0.0,0.0,166.11598,173.57794,179.46059,186.02954,190.04126,194.85594,200.1752,208.52776,215.20227,224.44685,230.59216,242.70493,253.29082,262.12607,286.39188,317.46323
2022-12-22 12:00:00,120.34171,137.63565,0.0,0.0,169.87065,178.08727,184.17693,190.9061,195.18396,200.41362,205.83626,214.38168,221.43433,230.96498,237.01987,249.65514,260.5754,270.01025,295.00464,326.68555
2022-12-22 13:00:00,137.61679,156.4368,0.0,0.0,188.66737,197.61246,203.64024,210.0321,214.73022,220.36914,225.5588,234.2678,241.58012,251.66142,257.34164,270.3337,281.6648,291.42792,316.44257,347.86566
2022-12-22 14:00:00,160.87636,180.9755,0.0,0.0,214.88774,224.54626,231.13585,238.76324,244.19403,251.18129,256.88193,267.14862,275.9266,287.44638,295.12698,309.40387,322.2596,333.5155,361.02234,394.58365
2022-12-22 15:00:00,177.56131,203.14041,0.0,0.0,244.76003,257.62643,266.1964,276.3723,284.24957,293.9072,301.2455,314.4599,325.88824,340.83054,350.8232,368.31662,383.80878,398.04443,430.96112,470.48718
2022-12-22 16:00:00,194.49156,229.33522,0.0,0.0,281.64413,299.636,310.76587,323.44434,334.0793,346.15677,355.10388,370.79477,384.75134,402.74103,413.17468,432.84097,449.46057,465.7323,501.8826,546.5626
2022-12-22 17:00:00,245.93187,285.5817,0.0,0.0,346.5945,364.4475,376.70044,390.86035,400.28748,411.28308,421.13864,437.57294,452.01056,467.9997,476.98428,495.262,509.14902,521.13947,552.3148,595.66724
2022-12-22 18:00:00,297.47726,340.77908,0.0,0.0,408.16245,425.72076,438.1346,451.63428,460.50644,470.23923,479.78668,495.7642,509.80695,524.73944,531.52686,548.1914,560.2004,568.28345,594.2821,633.99194
2022-12-22 19:00:00,349.48428,394.46286,0.0,0.0,462.7262,479.87915,491.15305,501.16095,511.12448,519.9943,527.67126,541.9878,555.65765,571.38574,576.1176,592.16064,604.86523,611.61444,635.35706,671.1551
2022-12-22 20:00:00,378.94635,424.3016,0.0,0.0,492.56494,509.6295,520.0892,527.83136,538.9119,547.3368,553.62164,566.8615,580.4141,596.9129,600.694,616.2095,629.6511,635.76996,658.3541,691.3157
2022-12-22 21:00:00,393.06525,436.1935,0.0,0.0,502.19116,518.46375,528.1843,534.7529,546.13306,553.82947,559.3238,571.8605,584.8148,601.486,604.9313,619.525,632.9454,638.1006,659.6726,690.6489
2022-12-22 22:00:00,394.1938,434.49603,0.0,0.0,497.0205,512.2998,521.37683,527.7299,538.4897,545.5394,550.7888,562.9935,575.2805,591.38367,594.9015,608.77325,621.7243,626.3601,647.3734,677.6879
2022-12-22 23:00:00,383.36087,421.54202,0.0,0.0,481.88086,496.38647,505.4098,512.363,522.189,528.8055,534.51697,546.8566,558.58704,573.9777,577.75037,591.3811,603.7762,607.9717,629.14154,660.2571
2022-12-23 00:00:00,273.22495,299.09933,0.0,0.0,348.64178,359.53983,369.15253,377.82062,385.35187,391.7215,399.53827,412.3613,421.57037,436.72137,442.9241,458.06427,471.44803,475.8679,502.75476,538.5456
2022-12-23 01:00:00,213.5976,236.31195,0.0,0.0,278.62286,290.35114,298.95444,305.86752,314.6498,321.57248,327.7041,338.7401,347.3269,362.92395,368.97327,383.28845,397.20157,404.3458,431.60565,464.39667
2022-12-23 02:00:00,173.74052,194.71336,0.0,0.0,231.42409,242.26883,249.70345,255.86314,263.80118,270.05426,275.47748,285.32288,293.35123,306.84927,312.16934,325.75534,338.4968,346.78607,372.6469,403.87473
2022-12-23 03:00:00,148.56259,168.50012,0.0,0.0,201.84543,211.75845,218.52812,224.44014,231.46788,237.07846,242.35811,251.52943,259.06683,270.85,275.52277,288.58505,300.19086,308.7338,333.37753,363.7573
