HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-12-21 05:00:00,466.9758,515.5875,558.36804,623.77606,655.2531,688.95996,707.2425,733.31177,750.0688,775.0596,783.25024,801.16724,821.4146,834.2142,852.53015,875.04364,879.3498,886.83685,910.2313,915.7378,941.2563,952.72314,962.0924,970.54987,977.74835,996.4286,1006.92896,1018.2781,1026.8765,1043.9589,1049.0807,1061.7074,1070.455,1092.0051,1103.3584,1117.2981,1128.6654,1140.1672,1153.6146,1172.7933,1194.987,1213.6559,1230.4104,1256.8898,1302.0999,1318.7869,1361.8639,1430.7959,1531.1296,1662.3829
2022-12-21 06:00:00,479.22687,526.31885,564.59827,627.2661,657.97125,690.76154,707.33484,732.60895,749.3857,773.2266,781.72034,799.5694,819.32404,833.15594,850.291,872.98535,876.24603,884.2082,908.5927,912.80054,937.3343,947.82043,958.5169,964.38446,973.2237,990.2565,1001.24866,1011.42017,1021.22064,1037.1501,1042.642,1054.9299,1063.4519,1084.6515,1093.4309,1109.6742,1120.7585,1130.605,1144.2438,1163.7352,1184.0753,1201.8888,1216.4458,1241.0234,1287.4353,1302.3662,1345.0015,1410.7317,1507.4253,1633.5441
2022-12-21 07:00:00,511.06534,555.12317,589.4501,648.2934,678.17725,710.00476,724.25555,747.8569,764.83344,787.525,795.4425,812.6464,830.92426,845.7098,861.3269,883.3588,886.3851,894.0519,918.36096,921.5751,945.12823,953.9869,966.04694,970.4173,979.3746,995.2605,1006.0663,1015.391,1025.7295,1040.1943,1044.9784,1057.0532,1065.1382,1085.3247,1092.1665,1109.382,1119.765,1128.5465,1141.7992,1160.4196,1179.3456,1196.5056,1209.2776,1230.8542,1278.3662,1291.2942,1332.361,1393.1252,1487.4672,1603.1252
2022-12-21 08:00:00,549.1432,598.3984,633.83344,689.3359,719.0948,751.4763,763.8209,785.8547,803.2646,826.0207,833.08246,850.40454,866.48,882.1134,897.0375,917.4245,920.9456,928.5775,950.2842,953.40485,977.5584,984.32587,997.3462,1002.0696,1008.75195,1025.1204,1034.165,1043.8096,1053.5876,1066.7743,1069.7472,1082.273,1089.6666,1107.8359,1114.4834,1130.1472,1139.234,1147.4004,1159.9722,1176.8276,1195.9208,1211.6394,1223.9478,1241.7744,1289.4303,1299.9155,1338.0505,1392.1694,1485.0502,1585.0165
2022-12-21 09:00:00,598.97815,654.1692,696.30334,751.70416,780.3322,813.5787,826.2273,847.11017,864.19763,888.2249,893.245,911.7835,925.896,941.0402,956.76605,976.43896,980.8226,988.65643,1008.2582,1012.16705,1037.3173,1044.1383,1056.3711,1061.5394,1067.2758,1085.1794,1092.4532,1101.9194,1111.0723,1124.8938,1126.204,1138.4006,1146.4545,1163.5684,1171.4014,1185.7993,1194.0814,1204.5172,1216.4581,1233.3008,1253.8688,1268.6702,1282.707,1299.9536,1345.911,1357.1428,1394.961,1442.5177,1544.0913,1637.1049
2022-12-21 10:00:00,640.63184,699.26715,757.93286,813.76044,843.4631,877.9968,891.9441,913.2122,930.5101,955.7015,958.78845,979.2602,991.5139,1006.4217,1023.5698,1042.9292,1047.5309,1056.0911,1074.9069,1078.7753,1105.1278,1113.1555,1125.3938,1129.2535,1134.0225,1153.2628,1159.5984,1168.8503,1177.0549,1191.3027,1192.0817,1203.8083,1211.8251,1226.3887,1237.4784,1251.6213,1259.3159,1271.5619,1282.963,1299.8813,1323.3231,1336.4664,1354.35,1369.7241,1413.833,1426.6292,1464.1581,1501.49,1617.2922,1702.4623
2022-12-21 11:00:00,675.3069,743.60706,810.7819,868.8198,901.66565,938.0652,952.37946,974.7677,993.9146,1019.8549,1024.394,1045.0626,1056.4415,1071.6696,1089.8446,1109.3567,1113.8027,1122.2263,1141.3907,1145.2544,1171.5137,1181.0862,1193.7297,1196.7902,1199.8475,1218.6763,1224.8433,1234.933,1243.3328,1256.4227,1256.6948,1268.253,1275.1768,1288.147,1301.2925,1315.3167,1322.7616,1334.2838,1343.1031,1358.8335,1382.8373,1393.9031,1412.6897,1424.2964,1468.6997,1478.6178,1514.0154,1545.8,1662.2924,1734.3893
2022-12-21 12:00:00,728.9304,805.6369,871.5356,934.27704,967.91156,1005.21045,1019.5216,1042.5331,1063.1211,1088.442,1094.9392,1114.0796,1125.2864,1139.6738,1157.7565,1177.7008,1182.525,1189.6589,1209.7509,1214.6791,1239.8429,1251.0485,1262.1909,1266.0294,1267.7014,1285.8706,1292.2087,1302.3645,1311.8208,1323.6421,1323.3602,1334.3081,1340.5818,1354.0369,1367.76,1381.9114,1389.6576,1401.7712,1407.9071,1422.201,1445.7653,1456.863,1475.9427,1486.9524,1532.0706,1540.6539,1574.8658,1609.3136,1725.3967,1793.1002
2022-12-21 13:00:00,756.8141,844.4969,913.3248,983.2419,1020.0429,1061.0527,1077.2554,1102.9348,1126.0358,1154.0125,1162.5887,1181.9673,1193.9591,1209.1327,1229.023,1250.2177,1257.8054,1264.8468,1286.5219,1293.89,1320.1359,1333.5868,1344.1602,1351.4225,1352.9697,1372.7147,1380.1875,1391.3691,1402.2795,1416.059,1416.227,1428.017,1436.2396,1451.1986,1466.935,1482.102,1491.4703,1506.0841,1511.4054,1526.8599,1552.9008,1566.5161,1587.6624,1601.9453,1649.8994,1661.9906,1700.2272,1744.2865,1868.7244,1954.3615
2022-12-21 14:00:00,787.7269,887.4971,961.9811,1043.5797,1085.3275,1131.7533,1152.8438,1182.2906,1208.3506,1242.4523,1252.229,1272.9591,1286.858,1303.772,1326.9132,1350.806,1362.8833,1370.3846,1394.3236,1405.3962,1433.0804,1450.2413,1460.2688,1471.1725,1474.294,1496.76,1505.8853,1518.3098,1531.3201,1549.7927,1550.1202,1562.7659,1574.594,1592.8539,1609.6597,1626.4764,1638.2867,1655.6998,1660.5297,1679.1049,1708.3656,1724.1936,1747.1084,1767.3356,1816.8086,1834.2327,1878.0269,1933.6874,2065.2932,2177.7795
2022-12-21 15:00:00,910.9392,1010.6843,1092.4949,1178.3931,1223.0194,1270.7737,1295.0469,1326.1316,1352.656,1391.9968,1398.1288,1418.4939,1432.8005,1450.8748,1475.7911,1500.4683,1514.6602,1522.1707,1545.6554,1558.5483,1588.1836,1607.5817,1616.1151,1629.5615,1631.6282,1657.4967,1666.6162,1678.9652,1692.6193,1715.5138,1713.6708,1727.9589,1740.8783,1761.15,1778.8616,1794.5083,1808.2726,1825.7234,1830.8705,1849.5521,1882.3514,1896.6323,1921.4197,1942.2103,1987.9805,2007.9976,2051.6428,2111.053,2243.543,2352.149
2022-12-21 16:00:00,1063.3699,1170.8038,1253.5698,1344.8479,1387.5985,1433.6819,1457.8142,1487.0983,1514.0443,1554.1328,1559.2595,1576.0632,1592.4545,1610.9192,1635.3344,1659.6604,1673.9198,1679.3682,1702.5406,1714.1936,1745.48,1765.3927,1772.2072,1786.6155,1787.0842,1816.8751,1825.0168,1837.524,1851.5074,1874.3302,1872.2714,1888.7277,1900.3729,1925.0868,1940.5991,1956.2279,1971.9076,1989.6157,1994.9371,2010.1003,2041.7992,2054.2407,2079.0144,2097.1152,2137.508,2151.88,2189.0142,2258.9573,2376.7039,2465.8613
2022-12-21 17:00:00,1140.8021,1277.5087,1350.2432,1450.3662,1495.1649,1542.671,1569.4485,1601.3156,1628.8104,1670.1554,1678.462,1690.237,1705.5249,1725.532,1747.589,1770.3319,1788.8811,1789.1316,1814.1202,1828.039,1853.2871,1873.1129,1880.0142,1894.7985,1893.5483,1918.3307,1926.6494,1939.1755,1953.9407,1975.4751,1970.6721,1983.0906,1992.9462,2017.9656,2030.1089,2044.451,2058.857,2075.1768,2076.898,2090.371,2124.0303,2135.5872,2159.4414,2183.044,2225.1736,2240.8323,2276.1155,2349.8071,2475.8083,2558.902
2022-12-21 18:00:00,1108.7972,1268.3971,1352.9314,1446.8748,1489.4288,1535.627,1560.2662,1594.2795,1620.9177,1662.4388,1670.2532,1683.2166,1696.9283,1718.1558,1741.5132,1763.2292,1781.5073,1782.2052,1805.899,1818.2474,1846.2019,1864.5189,1874.4792,1889.3419,1888.1907,1916.2031,1924.0442,1938.9624,1951.832,1972.5955,1971.2408,1985.2104,1995.4152,2018.3312,2035.9187,2051.7087,2067.4646,2086.0652,2091.396,2106.4297,2145.696,2160.6167,2189.1255,2215.147,2263.0564,2280.6206,2320.5845,2399.863,2552.7656,2653.8435
2022-12-21 19:00:00,1155.8419,1318.1307,1397.537,1471.7336,1501.4967,1536.3219,1553.8177,1583.3533,1602.9746,1639.58,1638.775,1650.8572,1658.0162,1675.4272,1696.6024,1712.9797,1726.0588,1724.8651,1741.8737,1748.9723,1775.981,1788.2123,1798.572,1809.423,1805.1117,1832.3503,1834.7075,1850.3086,1856.2188,1872.5646,1870.5662,1882.4749,1889.711,1905.7408,1926.0757,1936.9358,1949.7891,1964.07,1970.7374,1984.0366,2023.4604,2035.5876,2061.96,2081.7727,2126.5842,2135.1372,2169.8274,2230.9915,2386.1404,2449.0474
2022-12-21 20:00:00,1106.8394,1266.601,1339.8956,1407.6299,1439.4435,1470.8043,1486.083,1512.4083,1532.2067,1567.6976,1566.295,1576.6333,1582.8158,1600.2715,1619.2611,1632.844,1645.8145,1646.3014,1660.0452,1666.3881,1693.1917,1702.5006,1714.0916,1725.3853,1720.8235,1746.06,1748.3582,1763.5286,1768.8734,1781.6716,1781.4664,1793.688,1799.1952,1812.0883,1834.675,1843.4331,1854.9877,1866.7578,1874.2299,1884.4766,1922.5306,1933.1531,1960.9869,1976.5007,2022.2893,2028.0955,2059.3684,2115.0425,2267.7676,2315.778
2022-12-21 21:00:00,983.41406,1128.0935,1200.4862,1289.1261,1326.3542,1366.3429,1387.6567,1422.4711,1443.9204,1483.7448,1488.5197,1504.1007,1517.5172,1533.7217,1557.8967,1577.3118,1591.378,1594.1364,1612.9393,1622.7333,1653.4324,1665.871,1678.6548,1690.9985,1691.0942,1718.4712,1722.7513,1741.2667,1748.7554,1764.2578,1767.8424,1782.6597,1790.3403,1809.7781,1833.9302,1843.47,1856.0381,1869.934,1877.3123,1894.1179,1931.1598,1946.1406,1974.0634,1997.2085,2042.8291,2052.249,2092.0615,2164.0845,2310.2156,2399.0474
2022-12-21 22:00:00,824.3268,972.7926,1048.2002,1167.2797,1217.1503,1267.7141,1298.636,1342.8877,1370.664,1419.998,1430.1182,1454.028,1475.3569,1494.2526,1525.1083,1550.8414,1571.8136,1578.0392,1605.2103,1621.0287,1656.4595,1674.5907,1690.0095,1707.2968,1715.5188,1747.1942,1755.2966,1776.8606,1789.1082,1812.2732,1821.3818,1841.5083,1854.6217,1883.2367,1910.1912,1923.547,1940.8156,1960.5273,1971.4464,1997.1509,2036.1783,2059.1902,2090.707,2128.6719,2179.589,2201.1997,2257.344,2355.6868,2518.7156,2678.0442
