,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2023-09-12 17:00:00,0.0,30.216547,37.032864,0.0,40.857975,42.66316,43.635437,45.046062,45.85712,47.030903,47.66301,49.18892,49.924816,52.04296,53.128857,55.337738,57.231728,59.9676,64.647316,69.146484
2023-09-13 06:00:00,0.0,4.5416427,8.833011,0.0,10.470526,11.442032,12.330623,12.609333,12.623795,13.250379,13.332335,14.331638,14.479688,15.134951,16.160889,17.30204,18.89071,21.110455,24.080679,26.731293
2023-09-13 07:00:00,0.0,21.640417,27.269041,0.0,31.466366,33.551586,35.00092,35.993443,36.84875,38.03743,38.636658,39.967896,40.798965,42.29671,43.745037,45.768463,48.34455,51.347878,57.859787,65.021385
2023-09-13 08:00:00,0.0,36.700092,47.46197,0.0,54.80683,59.0285,62.380535,65.068855,67.445175,70.93239,72.68266,75.74117,78.092476,80.86593,85.08798,89.17581,94.54448,100.05948,110.20166,122.91614
2023-09-13 09:00:00,0.0,69.523445,86.155304,0.0,99.61708,106.611176,111.17762,115.84096,119.83648,126.12008,129.23642,136.2324,139.41313,144.19388,151.8964,158.37523,165.46667,173.6705,187.24097,203.88246
2023-09-13 10:00:00,0.0,95.80891,120.93081,0.0,144.7049,158.34608,165.37196,175.25455,182.55061,193.86551,199.6147,212.80402,218.52832,228.74597,241.41351,254.17978,265.06757,279.21725,302.88348,327.4565
2023-09-13 11:00:00,0.0,124.9106,155.6393,0.0,187.99911,209.62152,219.97917,236.43066,247.08879,262.1692,270.94193,288.14627,298.17404,313.6932,329.17532,347.3106,361.4573,381.16843,413.48886,443.9957
2023-09-13 12:00:00,0.0,205.6267,237.78877,0.0,267.50583,287.36005,297.5607,311.0036,320.18277,332.71176,340.14807,354.196,363.06982,373.14124,386.0359,397.64075,409.6887,425.70114,445.5961,469.99628
2023-09-13 13:00:00,0.0,268.23413,301.78085,0.0,324.43033,340.70856,350.11652,361.65668,368.43906,377.0982,383.51907,392.37122,400.9494,408.40994,417.4681,426.45538,438.52127,452.0485,467.3545,494.6757
2023-09-13 14:00:00,0.0,258.36362,291.96948,0.0,314.36252,329.33862,336.74698,348.14505,354.46387,363.1876,369.1693,378.923,386.13095,395.28915,404.1429,414.89105,426.2915,440.14874,459.26917,487.14618
2023-09-13 15:00:00,0.0,207.62479,235.75165,0.0,255.90807,266.98853,270.59637,278.77496,283.6745,291.26868,295.15942,304.99524,308.4947,316.7953,324.20523,333.66193,341.1832,352.33423,369.91226,389.612
2023-09-13 16:00:00,0.0,124.339554,144.55952,0.0,158.03442,165.8549,169.45827,175.40399,178.88591,183.69215,186.64157,192.61209,195.9574,202.19455,207.30167,214.72678,220.98346,229.47308,243.15605,258.9352
