,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2023-08-28 18:00:00,462.5382,547.1836,578.6043,602.17444,608.7284,629.63403,638.39215,651.31085,663.13947,671.31647,680.11005,680.39417,688.929,694.861,702.9066,709.42676,714.7648,717.60315,720.3505,729.7674,739.9349,742.23816,749.9173,758.9888,764.26044,773.7741,782.5024,789.1795,791.36633,798.74536,806.65,814.54156,827.66974,837.31146,846.01605,858.2631,867.13837,876.5611,884.4287,894.6514,913.9156,924.01855,939.75397,958.51666,972.2969,996.69653,1013.20776,1042.6388,1092.5382,1197.148
2023-08-28 19:00:00,358.06348,473.49673,519.4967,551.9301,571.621,596.96954,607.71045,622.45123,638.2994,650.61237,661.0512,666.0327,675.3377,686.0925,696.144,703.7545,711.002,714.4194,722.1182,729.35175,740.7135,741.7805,752.05023,760.0424,767.8868,777.76715,785.5824,792.72107,795.46356,802.7273,810.9237,819.4899,830.85004,837.5488,845.03894,856.5194,863.6645,872.5329,879.82007,888.02826,902.1959,912.9588,924.72754,940.54517,953.37036,973.18616,989.60223,1013.9625,1052.4266,1159.6094
2023-08-29 05:00:00,290.9131,423.0903,473.31293,507.21185,523.1463,549.9142,561.98126,576.1706,591.15704,605.9203,615.1264,619.4377,628.4217,637.99194,648.5794,658.6989,666.63184,669.87665,678.44385,686.8679,698.163,699.49817,712.1338,720.8331,730.51843,743.7976,753.8499,761.1817,765.54584,774.16815,781.7692,792.8612,804.695,812.494,821.8707,836.5157,846.02216,855.7336,864.0114,876.19226,892.8769,906.8245,921.2978,939.63654,958.26025,980.43823,1006.2899,1030.7659,1069.6454,1195.8143
2023-08-29 06:00:00,301.753,401.66205,434.69434,461.36856,469.67398,492.84195,500.0935,513.1127,521.60004,532.7036,539.9472,541.82477,550.88837,558.0596,567.65955,577.16943,585.38635,585.85315,593.1834,600.33484,611.675,612.39453,625.485,635.3629,646.8084,662.3625,673.0837,681.7635,686.57965,695.38293,702.062,715.80054,727.4446,737.2585,751.2131,769.3054,781.8202,792.1339,801.73914,817.36414,838.6186,858.32,878.9938,906.6477,932.563,964.9331,1008.7166,1052.7335,1124.2887,1277.4597
2023-08-29 07:00:00,208.7813,276.7775,309.49255,331.22806,343.54672,363.64233,371.1852,383.3536,394.60745,402.75253,411.442,416.22775,423.2205,431.7945,439.78223,449.36972,456.84995,458.78668,467.84686,474.51367,485.31363,486.6408,496.78052,506.0123,515.8243,526.6793,536.00574,542.9068,548.18054,557.3074,563.4214,574.99976,585.6299,592.77545,604.25867,616.9398,628.4639,638.4709,647.6409,662.0171,679.15717,691.757,708.7178,731.7764,749.76544,775.8967,806.0984,837.0776,884.2845,1020.5519
2023-08-29 08:00:00,124.97427,166.31552,186.75044,200.52803,207.58078,220.21236,225.28023,234.14328,241.21767,245.10197,250.49797,254.28166,257.9932,264.03928,268.86658,273.12512,277.6271,279.62082,284.56027,289.03238,295.35693,296.85556,302.87262,308.12622,313.36655,319.28787,324.34125,329.0392,332.5526,337.75623,341.97723,348.73276,355.32376,359.6121,367.85254,375.8124,382.5749,390.92294,397.85446,406.14365,419.8833,427.06326,440.80124,457.46564,468.54044,487.80127,507.86154,531.61255,569.4028,671.4978
2023-08-29 09:00:00,56.55024,72.8079,82.70389,89.70615,93.355125,99.22308,101.74402,105.567635,108.949196,110.812096,113.10403,114.94166,117.40918,120.43747,123.02629,125.066086,127.30903,128.22104,130.68967,132.49107,135.32426,136.00363,138.70451,140.80713,143.11417,145.56058,147.63821,149.84827,151.5508,153.53865,154.9549,157.66353,159.68652,161.02571,164.16084,167.03757,169.08295,172.06642,174.7131,177.56883,182.59079,184.90744,189.73822,195.99062,199.59938,206.94037,213.60085,221.6971,236.7843,277.33896
2023-08-29 10:00:00,3.78723,7.7447033,10.270803,11.383889,11.808547,12.588682,13.04604,13.484555,13.908926,14.171284,14.459123,14.643038,14.929797,15.301869,15.554759,15.792978,16.116922,16.225582,16.442862,16.730236,17.024172,17.122757,17.455368,17.716156,17.94473,18.220886,18.476212,18.681782,18.913864,19.144962,19.345715,19.659678,19.904512,20.09938,20.4709,20.825241,21.05207,21.450594,21.774149,22.120247,22.805054,23.161467,23.908709,24.713022,25.417866,26.555504,27.74371,29.847227,33.89494,44.443333
2023-08-29 11:00:00,145.66238,165.6175,174.51865,184.65414,190.06766,197.94576,200.71841,204.11002,209.36743,212.00815,214.4492,215.78491,218.13416,221.31004,224.41843,226.99272,228.50282,229.3271,232.28233,233.90717,237.39764,237.2401,239.17691,242.00974,244.53676,246.89355,249.84079,251.54135,252.44884,254.765,256.53162,258.4628,261.83463,263.66364,266.51025,269.3253,271.75754,274.67673,277.49933,280.79257,285.9719,289.2841,293.8236,301.09564,304.73175,312.67355,319.36118,328.50574,350.15698,387.20007
2023-08-29 12:00:00,355.59778,395.9498,413.42993,429.887,437.1946,449.9993,453.42307,458.61716,466.24133,470.35086,474.16388,474.02167,476.2532,479.8427,484.22745,487.72946,489.22925,489.81894,493.21094,495.66672,501.33032,500.9538,503.63327,508.90088,511.99164,516.08734,519.9915,522.23334,523.4047,526.8062,530.146,533.6525,539.68866,543.6215,548.9792,554.5931,559.2362,564.754,570.1323,576.9961,587.7724,594.8569,603.9644,619.26904,628.0336,642.8552,657.706,675.7279,716.92346,786.64545
