HourDK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-12-21 05:00:00,429.25482,493.94693,539.8928,583.0665,619.0336,654.1994,673.28033,709.8579,727.4763,744.038,764.2625,782.4842,804.0309,817.77484,829.0608,844.92896,852.4686,873.6979,887.69604,904.9732,916.59143,927.26086,937.4643,949.8618,959.8694,985.1114,998.09546,1009.8889,1022.7699,1039.6592,1051.2972,1072.661,1083.0771,1092.1984,1110.3716,1122.9661,1137.9658,1166.583,1173.6412,1201.037,1229.5693,1261.4802,1292.5182,1315.5419,1338.5358,1372.5082,1393.1754,1427.092,1516.9045,1740.8002
2022-12-21 06:00:00,386.08014,472.9807,513.5018,558.1196,603.17444,641.1801,664.0553,707.7105,727.92334,747.8792,769.02277,789.0089,813.2014,827.8201,842.0289,860.16394,868.9707,892.3302,907.2467,926.42535,936.5641,947.01514,955.80225,966.63,975.1495,998.4478,1013.3153,1024.8232,1037.4021,1055.2578,1065.4215,1086.2794,1094.5487,1100.8097,1116.0303,1127.6149,1138.9641,1163.229,1164.9414,1191.9312,1217.633,1247.6163,1268.7034,1287.8217,1302.5704,1324.3217,1339.3016,1357.8439,1420.1633,1586.8217
2022-12-21 07:00:00,353.8758,456.90347,496.6258,544.4448,595.3808,636.4337,662.5474,711.6956,734.4411,757.6584,779.35443,800.4147,826.4209,842.2175,857.39636,877.30786,888.03937,911.9001,928.5419,948.3264,957.7707,967.1259,976.2536,987.45386,995.5657,1017.66656,1034.7607,1046.6666,1059.9539,1078.8744,1089.2733,1109.1581,1116.8524,1121.4716,1134.1534,1144.3549,1153.8933,1171.0343,1169.5553,1194.7389,1217.4989,1244.6605,1255.0002,1271.9485,1279.4924,1295.9181,1304.7799,1321.6277,1360.1233,1482.843
2022-12-21 08:00:00,318.9991,458.4595,502.21112,547.9861,603.99005,647.75085,677.75977,731.60156,757.57605,784.43677,807.34576,830.0495,855.80634,872.62604,888.1281,907.76746,919.99835,943.8756,961.6219,980.8793,989.92633,998.77014,1009.01965,1021.8424,1029.5519,1051.276,1069.5494,1080.7019,1094.3141,1112.5074,1123.9443,1143.9807,1152.0962,1157.0137,1170.4594,1179.469,1189.8317,1202.9037,1202.7379,1226.133,1248.0856,1273.6768,1279.4194,1298.0106,1302.6938,1323.9197,1330.6399,1348.8127,1386.459,1485.302
2022-12-21 09:00:00,340.74423,486.28818,534.85364,587.54694,643.7089,685.68317,718.7879,771.5982,796.8337,827.2132,853.0129,878.8064,907.61,928.4637,947.8215,970.865,988.0378,1014.7703,1034.6957,1055.8787,1066.7443,1079.7019,1091.06,1104.7217,1115.2676,1137.7396,1156.6003,1170.2411,1184.3956,1200.1165,1211.596,1230.1808,1237.1487,1241.0654,1250.6908,1256.5566,1265.2804,1274.2427,1270.7178,1286.5719,1298.6471,1313.9514,1318.1129,1334.7213,1343.0697,1360.8788,1373.3336,1390.4808,1411.1974,1518.4224
2022-12-21 10:00:00,440.29086,584.5502,634.4515,686.8516,739.7827,777.63464,809.9821,857.6486,882.2936,911.09174,935.3933,959.6673,986.04156,1005.964,1024.0533,1044.5647,1061.019,1087.0217,1105.3016,1124.5007,1133.903,1147.9117,1157.7805,1170.474,1180.2338,1201.2294,1218.3661,1231.1729,1244.1244,1258.2334,1268.2383,1285.513,1291.2644,1294.929,1303.5819,1308.329,1316.363,1325.0691,1322.3849,1337.9073,1348.2625,1363.702,1368.9996,1384.9124,1394.3385,1411.0045,1422.2534,1438.6262,1462.5924,1558.7133
2022-12-21 11:00:00,545.32104,681.62585,738.4907,790.39233,841.58594,875.6096,906.4861,950.79956,973.4733,1000.91925,1023.14166,1045.134,1069.5403,1088.202,1104.1768,1121.893,1137.053,1160.4219,1176.6407,1193.4108,1200.7909,1214.8777,1222.4988,1233.1295,1241.9382,1258.6475,1273.9326,1285.0593,1296.113,1307.9108,1315.5824,1330.7465,1334.2203,1336.3997,1343.9921,1347.4359,1353.6442,1360.8925,1357.9747,1373.2838,1381.7261,1396.5052,1400.8119,1416.2385,1425.4072,1439.5338,1448.7233,1461.7556,1484.8721,1561.2831
2022-12-21 12:00:00,641.72644,762.25305,828.22296,878.8567,923.8415,956.24426,982.5147,1023.38837,1042.987,1068.1339,1089.4103,1109.4973,1133.0612,1150.0784,1162.9506,1179.5575,1192.1896,1213.5845,1229.1239,1244.8053,1253.0922,1266.5426,1274.8738,1285.7638,1295.6097,1310.6937,1325.2417,1335.7191,1346.293,1358.0833,1366.548,1381.6682,1385.8113,1388.957,1399.0376,1403.5055,1411.3666,1420.3364,1419.9802,1435.6143,1447.9722,1463.3016,1471.884,1489.094,1501.7477,1521.4014,1534.2985,1555.902,1598.5118,1697.4448
2022-12-21 13:00:00,667.4195,804.1092,867.135,920.21985,965.1758,1001.7049,1028.3536,1068.8722,1090.8558,1116.5952,1139.4514,1160.6708,1186.3391,1205.5222,1219.1534,1238.529,1252.2417,1276.7075,1294.5089,1311.7778,1323.128,1338.7535,1349.5778,1363.9193,1375.0441,1393.5454,1410.1097,1421.6947,1434.6481,1449.4364,1459.7212,1477.2859,1483.4559,1488.7921,1501.9388,1507.8909,1519.301,1531.7151,1533.5856,1550.8403,1569.0707,1586.7915,1600.0775,1621.0255,1639.6995,1665.8298,1681.6721,1715.0419,1772.1461,1893.2361
2022-12-21 14:00:00,712.8287,854.6463,926.4422,985.8207,1036.2692,1077.4882,1106.5336,1150.9102,1176.0973,1202.7548,1227.6748,1251.7415,1278.9902,1301.342,1316.1465,1337.8093,1352.343,1379.832,1399.0309,1417.7812,1430.5973,1448.0167,1460.4513,1477.5546,1489.3838,1511.9406,1531.0472,1544.6534,1560.0505,1578.0808,1590.2883,1610.5116,1619.2638,1626.2247,1641.7739,1648.8275,1663.1997,1676.1624,1679.7307,1699.482,1720.3171,1739.825,1752.7546,1780.0764,1802.9728,1835.3568,1854.4609,1895.35,1963.1313,2112.519
