,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2023-08-30 13:00:00,0.0,967.37787,0.0,1051.2561,1067.4718,0.0,1107.9357,1118.0507,1138.2678,1146.0854,0.0,1174.4412,0.0,1206.1063,1216.08,1242.138,1269.0052,1293.2579,1341.8252,1401.9468
2023-08-30 14:00:00,0.0,974.5136,0.0,1060.3131,1076.6394,0.0,1119.4419,1131.5774,1150.9474,1159.8629,0.0,1188.3977,0.0,1221.5393,1232.1833,1258.9458,1287.3295,1312.5728,1360.8556,1418.018
2023-08-30 15:00:00,0.0,910.30304,0.0,992.8939,1009.20056,0.0,1043.8301,1057.1779,1075.2783,1080.5605,0.0,1108.0575,0.0,1139.207,1149.5173,1171.4905,1193.7145,1216.7666,1263.5057,1323.3922
2023-08-30 16:00:00,0.0,760.6654,0.0,839.2537,853.6047,0.0,882.5307,896.3347,912.19257,915.4006,0.0,941.0137,0.0,969.2109,979.26306,998.31647,1017.5514,1040.9492,1082.2148,1138.7953
2023-08-30 17:00:00,0.0,540.63855,0.0,607.92456,619.4359,0.0,653.01654,664.7764,679.1022,685.2441,0.0,708.5392,0.0,732.9697,745.9772,767.2319,787.08563,811.2128,848.80457,901.9543
2023-08-30 18:00:00,0.0,329.37924,0.0,374.90762,383.13055,0.0,401.2967,404.63507,415.40384,418.72144,0.0,434.10464,0.0,449.76526,454.9892,466.42703,480.82538,495.9935,522.6059,567.24554
2023-08-31 06:00:00,0.0,139.6937,0.0,161.09029,164.80527,0.0,169.10335,166.95041,172.71266,171.65479,0.0,179.94719,0.0,184.65808,186.03242,187.81001,194.7415,201.30229,213.48015,240.2108
2023-08-31 07:00:00,0.0,0.079572074,0.0,12.941896,14.408464,0.0,16.17547,11.715995,15.25531,15.943613,0.0,18.254978,0.0,19.079197,20.119516,20.093637,24.852613,28.411793,38.21243,60.743065
2023-08-31 08:00:00,0.0,174.27689,0.0,199.03958,203.97098,0.0,211.38051,208.58583,215.5619,215.1324,0.0,224.38562,0.0,230.74619,231.3147,234.54826,244.3456,251.68274,262.91058,288.88885
2023-08-31 09:00:00,0.0,376.41785,0.0,417.62045,424.28967,0.0,436.08698,438.52264,448.04758,446.74014,0.0,461.25238,0.0,473.65036,475.57343,481.71323,493.70032,504.88605,518.2128,544.5514
2023-08-31 10:00:00,0.0,596.9773,0.0,658.62036,670.4057,0.0,691.8056,696.4503,711.11884,711.514,0.0,733.9275,0.0,753.03986,756.8158,768.62,785.20807,799.0074,822.47363,863.9882
2023-08-31 11:00:00,0.0,791.4365,0.0,879.431,898.7723,0.0,927.1994,933.21387,955.354,955.2319,0.0,992.9259,0.0,1022.27325,1027.014,1045.5725,1072.4045,1093.1558,1131.8339,1193.9824
2023-08-31 12:00:00,0.0,909.9199,0.0,1004.2654,1025.0013,0.0,1048.7742,1054.8408,1080.0022,1077.3486,0.0,1119.1268,0.0,1151.6654,1155.886,1175.973,1203.724,1227.4608,1274.663,1342.3186
2023-08-31 13:00:00,0.0,908.5283,0.0,995.23083,1013.42163,0.0,1038.516,1047.129,1072.1832,1070.0736,0.0,1108.9388,0.0,1141.2736,1147.0072,1167.6757,1187.7598,1209.251,1255.1982,1322.0615
2023-08-31 14:00:00,0.0,763.5932,0.0,847.8854,866.58417,0.0,892.11896,901.98785,925.6719,922.55786,0.0,965.3554,0.0,998.6255,1004.68146,1026.7974,1050.5029,1075.3312,1120.145,1181.2584
2023-08-31 15:00:00,0.0,573.36694,0.0,638.58514,658.16656,0.0,684.7761,681.90533,709.6166,705.0975,0.0,750.6409,0.0,778.9548,778.7639,803.7929,828.3251,847.9838,891.51434,951.61865
2023-08-31 16:00:00,0.0,389.53397,0.0,438.9191,453.37192,0.0,477.78424,480.58575,499.2803,495.96982,0.0,532.61316,0.0,555.64954,560.3418,579.5999,599.74774,617.8585,650.21674,695.06116
2023-08-31 17:00:00,0.0,211.99913,0.0,249.17609,256.77496,0.0,276.8101,281.22327,291.7786,293.96207,0.0,314.62628,0.0,331.88873,338.58838,351.77563,366.93314,382.82153,408.49857,450.0432
2023-08-31 18:00:00,0.0,85.47958,0.0,100.989494,103.684265,0.0,107.995384,105.03181,109.775444,109.29333,0.0,115.852745,0.0,118.69529,120.57103,121.888115,127.61679,132.7653,143.44003,168.00378
2023-09-01 05:00:00,0.0,133.22588,0.0,160.57465,165.95326,0.0,174.84895,174.05434,179.84235,181.18286,0.0,190.90073,0.0,198.11574,200.88303,204.77617,216.34378,225.49504,240.84288,271.51324
2023-09-01 06:00:00,0.0,269.2179,0.0,312.80905,320.13965,0.0,339.56088,343.92294,352.70193,357.16003,0.0,371.31342,0.0,386.97968,391.97906,402.4529,418.9703,434.05798,454.55627,491.3015
2023-09-01 07:00:00,0.0,350.48132,0.0,409.948,420.65863,0.0,446.59842,455.8782,468.7442,474.8379,0.0,497.6674,0.0,521.72253,530.14404,547.6755,569.1285,591.45483,622.6545,669.86
2023-09-01 08:00:00,0.0,329.00363,0.0,383.1132,394.39407,0.0,418.30322,424.28073,438.2537,443.5487,0.0,466.03412,0.0,487.7976,496.382,513.29926,532.71783,552.61865,587.5153,637.4078
2023-09-01 09:00:00,0.0,226.32774,0.0,273.22037,282.4692,0.0,305.68875,313.64627,324.50177,329.91797,0.0,351.23386,0.0,371.36728,381.33307,396.76633,415.0672,434.63583,464.7337,509.8166
2023-09-01 10:00:00,0.0,149.14221,0.0,200.28082,210.44458,0.0,237.78484,250.76384,263.82904,271.50568,0.0,301.04694,0.0,329.28198,339.65088,360.0411,380.67188,404.31143,437.0077,489.0061
2023-09-01 11:00:00,0.0,172.48137,0.0,227.6659,237.56601,0.0,267.14066,279.07553,292.41095,302.42896,0.0,329.1706,0.0,357.39716,367.98203,390.2684,413.11115,439.05273,474.63266,530.87225
2023-09-01 12:00:00,0.0,187.64384,0.0,250.28818,262.33774,0.0,295.43637,309.7023,327.00812,337.119,0.0,371.48242,0.0,405.59064,416.41757,444.08084,469.1611,499.34497,539.5158,600.4072
