,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2023-09-12 17:00:00,18.217999,25.514362,29.301378,32.107887,34.207146,35.801113,36.78525,38.231926,38.695194,39.57791,40.59494,41.447803,42.149677,43.02911,43.620285,44.414715,44.82332,45.28329,45.79144,46.287445,47.005272,47.477757,47.941338,48.20158,48.65496,49.32978,49.604614,50.178932,50.64406,50.96054,51.3864,51.78245,52.031975,52.393627,52.66277,52.972443,53.190308,53.522305,53.745937,54.311935,54.5821,54.940754,55.63658,56.200184,56.931633,58.057762,58.895653,60.680534,62.451447,70.57959
2023-09-13 06:00:00,-1.1251559,2.7310505,4.354942,5.347803,6.4032135,7.2801495,7.759002,8.305816,8.371565,8.961129,9.401779,9.874618,10.159301,10.469033,10.838091,11.0427885,11.404364,11.552032,11.906629,12.041748,12.403096,12.832679,13.077794,13.520388,13.583143,14.1621,14.3979225,14.750477,15.040495,15.373298,15.805703,16.104574,16.517012,16.737648,16.97691,17.591658,17.756596,18.260553,18.648664,19.182615,19.555445,20.310497,20.70806,21.526224,22.439861,23.691914,24.971413,27.031998,29.028812,38.459995
2023-09-13 07:00:00,0.4205265,8.817703,12.779842,15.543908,17.689247,19.529894,20.655134,21.97252,22.36902,23.669699,25.034264,26.093344,27.175854,28.101038,28.810163,29.94593,30.57191,31.23044,32.021523,32.92228,33.764675,34.762863,35.935497,36.87208,37.644676,39.09839,39.963722,41.107143,41.846905,43.14306,43.797047,45.23959,46.253296,47.26283,48.30066,49.559467,50.651463,52.237305,53.496075,55.025578,56.305412,58.279137,60.22973,62.029476,65.22564,68.87378,72.173996,76.721954,83.57255,102.876465
2023-09-13 08:00:00,6.157772,18.009428,25.020641,29.629286,33.676487,37.286568,39.3576,42.089874,42.41833,45.047676,47.980137,50.079273,51.954548,53.72547,55.2171,57.409637,58.979492,60.405537,62.309563,64.06255,65.969955,68.031006,70.40596,72.36049,73.81299,77.1472,79.073654,81.259575,82.70977,85.0592,86.7025,89.26875,91.48096,93.45437,95.37877,98.42301,100.14138,103.2203,105.56637,108.639244,110.897224,114.538704,117.83397,121.37763,127.056564,133.14629,138.80693,147.83376,159.72073,191.58266
2023-09-13 09:00:00,-18.710457,-0.20454466,17.019543,28.362068,37.289818,46.268044,51.36082,57.76437,59.66258,65.49752,72.04213,77.60624,81.85728,85.99901,89.96344,94.359276,98.29471,101.91211,105.85495,109.29942,113.509346,117.86211,122.565094,126.59819,128.68933,135.51144,139.2728,143.2286,146.25081,150.6954,153.98001,158.09033,161.8742,164.84032,167.76369,172.70053,175.1694,179.34009,182.50433,186.75473,189.38599,193.56099,197.30638,202.0647,208.0385,217.0471,222.7689,234.75458,248.81934,295.44955
2023-09-13 10:00:00,-49.80771,-29.588028,-1.4887891,19.266708,33.790813,50.076508,56.90514,69.91471,73.47456,83.73931,95.90092,106.025246,113.300606,121.21696,129.11128,137.34225,143.56071,150.25418,157.77788,163.44588,170.10396,177.56873,187.5872,194.33705,198.21129,209.99184,215.28458,222.57135,227.46478,234.7771,240.62186,247.24112,253.17525,257.68228,262.823,270.93225,275.77737,282.38745,287.2962,294.06732,298.08026,303.9242,310.1036,315.99594,324.68518,338.8906,343.81693,363.9928,385.26685,459.3026
2023-09-13 11:00:00,-40.752808,-15.629365,15.733936,36.274387,51.253475,69.670815,75.50634,90.15922,93.27835,106.61664,123.16726,135.5134,144.6888,154.90399,164.6172,176.54565,183.748,191.85202,204.3673,212.6112,221.37921,232.52222,247.78633,256.7465,263.57846,278.8146,286.60162,297.8248,304.18234,315.18307,324.13297,333.91693,342.8958,350.1348,357.38806,369.8943,378.84134,388.96945,397.30927,408.08008,415.48248,424.94888,435.4446,443.69846,457.10428,476.86517,485.9872,514.2224,551.88165,668.2825
2023-09-13 12:00:00,42.48616,68.99426,92.69393,107.53604,118.924416,134.82922,136.60677,151.54254,151.6304,164.3123,180.89328,192.18071,199.86311,210.19014,219.18079,231.50327,237.56853,244.69023,259.02316,267.6672,276.76956,288.5781,306.06628,315.5032,324.2149,340.2326,348.1401,360.86478,367.8008,379.2848,390.3824,401.7564,412.53687,421.92404,430.9325,446.84296,458.2234,471.3867,482.31876,496.51093,507.18524,520.7962,535.521,545.8174,565.08673,588.86816,602.25867,639.94006,693.2135,841.36993
2023-09-13 13:00:00,87.85855,121.30182,150.45903,170.00957,184.35872,200.29834,204.17099,219.72594,221.63168,233.66461,249.94318,260.52408,268.67163,279.6057,288.2385,301.11963,306.44067,313.13107,327.16162,335.29086,344.20685,354.6741,370.18103,377.88766,386.64157,400.44342,407.25095,419.3913,426.02448,435.4755,445.1152,454.87134,463.81952,472.28543,480.5655,493.14313,503.506,514.3117,523.5922,536.41187,545.3107,556.2495,570.3915,579.05707,596.1594,616.33685,628.26526,661.182,706.6511,831.9531
2023-09-13 14:00:00,99.9935,139.75388,171.46077,192.1527,207.6898,222.26125,229.34528,243.61781,247.3795,257.27368,270.5685,279.6763,286.63873,296.32126,302.9376,313.49356,318.2889,323.78177,335.01038,341.67996,349.6935,357.83646,369.0466,375.00143,381.63892,392.49185,397.64252,407.42963,413.0682,420.58093,427.4368,434.63016,441.3833,448.15222,454.58875,463.32043,470.418,478.16983,484.59247,494.77383,500.93243,507.98727,518.9398,525.3893,537.9535,552.7235,561.7699,586.3149,617.2081,703.5574
